Cycle	Now Cost	Average Cost	Number of Replication

0	507	507.0	396
1	243	375.0	284
2	152	300.6666666666667	292
3	126	257.0	288
4	108	227.2	276
5	721	309.5	400
6	197	293.42857142857144	296
7	185	279.875	272
8	222	273.44444444444446	328
9	143	260.4	308
10	1194	345.27272727272725	256
11	911	392.4166666666667	300
12	280	383.7692307692308	268
13	108	364.07142857142856	352
14	169	351.06666666666666	292
15	518	361.5	272
16	182	350.94117647058823	212
17	117	337.94444444444446	188
18	295	335.6842105263158	144
19	139	325.85	180
20	503	334.2857142857143	200
21	388	336.72727272727275	132
22	568	346.7826086956522	168
23	105	336.7083333333333	116
24	76	326.28	64
25	470	331.8076923076923	56
26	272	329.5925925925926	72
27	60	319.9642857142857	52
28	143	313.86206896551727	60
29	79	306.03333333333336	32
30	440	310.35483870967744	44
31	68	302.78125	32
32	393	305.5151515151515	16
33	68	298.52941176470586	24
34	4	290.1142857142857	16
35	160	286.5	28
36	38	279.7837837837838	24
37	309	280.55263157894734	20
38	18	273.8205128205128	8
39	52	268.275	16
40	325	269.6585365853659	16
41	340	271.3333333333333	28
42	42	266.0	8
43	1	259.97727272727275	8
44	373	262.4888888888889	8
45	882	275.95652173913044	24
46	4	270.17021276595744	8
47	3	264.6041666666667	8
48	0	259.2040816326531	0
49	114	256.3	8
50	105	253.33333333333334	4
51	222	252.73076923076923	12
52	28	248.49056603773585	4
53	97	245.6851851851852	12
54	112	243.25454545454545	8
55	306	244.375	8
56	0	240.08771929824562	0
57	1	235.9655172413793	4
58	0	231.96610169491527	0
59	21	228.45	4
60	342	230.31147540983608	8
61	253	230.67741935483872	4
62	6	227.11111111111111	4
63	0	223.5625	0
64	66	221.13846153846154	4
65	0	217.78787878787878	0
66	0	214.53731343283582	0
67	73	212.4558823529412	8
68	0	209.3768115942029	0
69	168	208.78571428571428	8
70	45	206.4788732394366	4
71	0	203.61111111111111	0
72	0	200.82191780821918	0
73	0	198.1081081081081	0
74	0	195.46666666666667	0
75	0	192.89473684210526	0
76	10	190.5194805194805	4
77	1049	201.52564102564102	12
78	0	198.9746835443038	0
79	0	196.4875	0
80	21	194.320987654321	4
81	0	191.9512195121951	0
82	0	189.63855421686748	0
83	0	187.38095238095238	0
