cycle Data5 Data15 Data25 Data35 Data45
0
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
17
18
19
20
21
22
23
24
25
26     0
27     0
28     0
29    14
30    17
31    23
32    36
33    47
34    59
35    69
36    85
37    98
38   106
39   120
40   137
41   159
42   179
43   197
44   212
45   228
46   255
47   281
48   299
49   316
50   335
51   367
52   390
53   418
54   455
55   501
56   544
57   587
58   629
59   673
60   712
61   755
62   790
63   821
64   853
65   889
66   929
67   969
68   999
69  1036
70  1070
71  1098
72  1139
73  1175
74  1211
75  1238
76  1269     0
77  1269     0
78  1269     0
79  1269     0
80  1268     0
81  1264     7
82  1262     7
83  1250     7
84  1236     7
85  1230     7
86  1228     7
87  1210     7
88  1198     7
89  1186     7
90  1176     7
91  1161     7
92  1149     7
93  1136     7
94  1119     7
95  1099     7
96  1083     7
97  1063     7
98  1048     7
99  1021     7
100   999     7
101   982     7
102   961     7
103   940     7
104   914     7
105   890     7
106   867     7
107   840     7
108   788     7
109   764     7
110   720     7
111   682     7
112   629     7
113   572     7
114   540     7
115   502     7
116   472     7
117   443     7
118   397     7
119   363     7
120   328     7
121   290     7
122   257     7
123   216     7
124   183     7
125   158     7
126   127     7     0
127    90     7     0
128    57     7     0
129    32     7    11
130    14     7    13
131     5     7    14
132     5     6    14
133     5     5    15
134     5     5    16
135     5     5    18
136     5     5    19
137     5     5    21
138     5     5    22
139     5     5    24
140     5     5    24
141     5     5    24
142     5     5    24
143     5     5    26
144     5     5    26
145     5     5    29
146     5     5    31
147     5     5    35
148     5     5    38
149     5     5    42
150     5     5    43
151     5     5    44
152     5     5    45
153     5     5    48
154     5     5    50
155     5     5    51
156     5     5    52
157     5     5    54
158     5     5    56
159     5     5    57
160     5     5    58
161     5     5    58
162     5     5    60
163     5     5    61
164     5     5    62
165     5     5    62
166     5     5    63
167     5     5    64
168     5     5    65
169     5     5    67
170     5     5    69
171     5     5    69
172     5     5    71
173     5     5    73
174     5     5    73
175     5     5    76
176     5     5    77     0
177     5     5    78     0
178     5     5    80     0
179     5     5    82     6
180     5     5    82     7
181     5     5    82    10
182     5     5    82    12
183     5     5    82    16
184     5     5    77    19
185     5     5    75    22
186     5     5    72    31
187     5     5    70    36
188     5     5    69    41
189     5     5    67    59
190     5     5    66    74
191     5     5    65    90
192     5     5    65   115
193     5     5    63   145
194     5     5    59   168
195     5     5    58   211
196     5     5    58   251
197     5     5    58   295
198     5     5    57   316
199     5     5    57   343
200     5     5    55   397
201     5     5    53   447
202     5     5    53   482
203     5     5    51   511
204     5     5    46   559
205     5     5    42   597
206     5     5    40   642
207     5     5    40   670
208     5     5    37   719
209     5     5    35   763
210     5     5    34   799
211     5     5    33   844
212     5     5    32   891
213     5     5    29   934
214     5     5    29   964
215     5     5    27  1008
216     5     5    24  1050
217     5     5    23  1089
218     5     5    22  1130
219     5     5    22  1161
220     5     5    21  1200
221     5     5    21  1234
222     5     5    20  1270
223     5     5    18  1301
224     5     5    17  1326
225     5     5    15  1365
226     5     5    13  1394     0
227     5     5    12  1420     0
228     5     5    11  1443     0
229     5     5    10  1473     0
230     5     5     7  1506     8
231     5     5     5  1528    10
232     5     5     5  1544    11
233     5     5     5  1572    13
234     5     5     5  1572    15
235     5     5     5  1572    17
236     5     5     5  1572    26
237     5     5     5  1572    29
238     5     5     5  1572    37
239     5     5     5  1570    46
240     5     5     5  1567    52
241     5     5     5  1564    60
242     5     5     5  1561    67
243     5     5     5  1556    77
244     5     5     5  1554    89
245     5     5     5  1550   109
246     5     5     5  1546   128
247     5     5     5  1543   153
248     5     5     5  1531   180
249     5     5     5  1521   211
250     5     5     5  1505   248
251     5     5     5  1493   282
252     5     5     5  1477   316
253     5     5     5  1448   353
254     5     5     5  1410   387
255     5     5     5  1378   430
256     5     5     5  1345   460
257     5     5     5  1318   497
258     5     5     5  1280   529
259     5     5     5  1239   561
260     5     5     5  1204   604
261     5     5     5  1166   641
262     5     5     5  1132   682
263     5     5     5  1087   725
264     5     5     5  1055   760
265     5     5     5  1019   794
266     5     5     5   976   829
267     5     5     5   928   863
268     5     5     5   887   906
269     5     5     5   852   946
270     5     5     5   815   986
271     5     5     5   769  1023
272     5     5     5   724  1066
273     5     5     5   694  1095
274     5     5     5   655  1123
275     5     5     5   605  1147
276     5     5     5   564  1190
277     5     5     5   524  1190
278     5     5     5   486  1190
279     5     5     5   447  1190
280     5     5     5   413  1190
281     5     5     5   369  1190
282     5     5     5   340  1187
283     5     5     5   304  1186
284     5     5     5   269  1183
285     5     5     5   238  1181
286     5     5     5   206  1175
287     5     5     5   182  1174
288     5     5     5   151  1172
289     5     5     5   126  1171
290     5     5     5   106  1168
291     5     5     5    79  1163
292     5     5     5    50  1154
293     5     5     5    24  1146
294     5     5     5    18  1137
295     5     5     5     7  1129
296     5     5     5     5  1121
297     5     5     5     5  1107
298     5     5     5     5  1092
299     5     5     5     5  1078
300     5     5     5     5  1056
301     5     5     5     5  1028
302     5     5     5     5  1011
303     5     5     5     5   974
304     5     5     5     5   937
305     5     5     5     5   903
306     5     5     5     5   866
307     5     5     5     5   831
308     5     5     5     5   804
309     5     5     5     5   764
310     5     5     5     5   729
311     5     5     5     5   699
312     5     5     5     5   667
313     5     5     5     5   625
314     5     5     5     5   584
315     5     5     5     5   550
316     5     5     5     5   515
317     5     5     5     5   470
318     5     5     5     5   423
319     5     5     5     5   383
320     5     5     5     5   354
