Cycle	Now Cost	Total Cost

0	0	0
1	0	0
2	0	0
3	208	208
4	0	208
5	241	449
6	0	449
7	0	449
8	0	449
9	357	806
10	1686	2492
11	0	2492
12	1151	3643
13	0	3643
14	0	3643
15	230	3873
16	129	4002
17	141	4143
18	1136	5279
19	684	5963
20	0	5963
21	154	6117
22	231	6348
23	229	6577
24	195	6772
25	1874	8646
26	2592	11238
27	1064	12302
28	236	12538
29	403	12941
30	7011	19952
31	1425	21377
32	1213	22590
33	34	22624
34	997	23621
35	0	23621
36	511	24132
37	595	24727
38	371	25098
39	849	25947
40	595	26542
41	804	27346
42	280	27626
43	2952	30578
44	475	31053
45	2789	33842
46	402	34244
47	367	34611
48	1011	35622
49	1115	36737
50	1684	38421
51	2186	40607
52	2105	42712
53	1496	44208
54	2054	46262
55	1400	47662
56	669	48331
57	908	49239
58	2454	51693
59	2150	53843
60	1086	54929
61	662	55591
62	1260	56851
63	2990	59841
64	3070	62911
65	11185	74096
66	2549	76645
67	2736	79381
68	2095	81476
69	3393	84869
70	1720	86589
71	1639	88228
72	2197	90425
73	5170	95595
74	1641	97236
75	2974	100210
76	2147	102357
77	6259	108616
78	1356	109972
79	855	110827
80	2544	113371
81	1347	114718
82	1874	116592
83	986	117578
84	3480	121058
85	3939	124997
86	1118	126115
87	654	126769
88	1190	127959
89	2283	130242
90	2169	132411
91	2681	135092
92	1148	136240
93	2726	138966
94	2916	141882
95	1565	143447
96	774	144221
97	1740	145961
98	883	146844
99	185	147029
100	4825	151854
101	1435	153289
102	3043	156332
103	2560	158892
104	2565	161457
105	473	161930
106	6806	168736
107	2299	171035
108	478	171513
109	2158	173671
110	3144	176815
111	4897	181712
112	1384	183096
113	1499	184595
114	1907	186502
115	1937	188439
116	2704	191143
117	2163	193306
118	497	193803
119	1851	195654
120	3009	198663
121	1485	200148
122	4403	204551
123	1793	206344
124	3710	210054
125	3257	213311
126	3793	217104
127	687	217791
128	4138	221929
129	616	222545
130	3592	226137
131	2759	228896
132	842	229738
133	991	230729
134	1285	232014
135	5848	237862
136	3473	241335
137	2289	243624
138	1993	245617
139	1937	247554
140	2810	250364
141	5232	255596
142	1685	257281
143	2600	259881
144	2219	262100
145	3717	265817
146	2392	268209
147	3427	271636
148	4247	275883
149	3287	279170
150	3772	282942
