Cycle	Now Cost	Total Cost

0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	512	512
16	0	512
17	0	512
18	0	512
19	0	512
20	1105	1617
21	0	1617
22	0	1617
23	0	1617
24	0	1617
25	7502	9119
26	911	10030
27	516	10546
28	761	11307
29	646	11953
30	257	12210
31	198	12408
32	172	12580
33	557	13137
34	169	13306
35	5873	19179
36	729	19908
37	909	20817
38	354	21171
39	222	21393
40	500	21893
41	330	22223
42	87	22310
43	179	22489
44	332	22821
45	154	22975
46	104	23079
47	109	23188
48	218	23406
49	99	23505
50	1614	25119
51	1129	26248
52	311	26559
53	20	26579
54	28	26607
55	45	26652
56	6	26658
57	110	26768
58	11	26779
59	2	26781
60	551	27332
61	36	27368
62	0	27368
63	0	27368
64	0	27368
65	214	27582
66	0	27582
67	112	27694
68	0	27694
69	0	27694
70	0	27694
71	56	27750
72	0	27750
73	0	27750
74	0	27750
75	0	27750
76	0	27750
77	0	27750
78	0	27750
79	0	27750
80	0	27750
81	0	27750
82	1894	29644
83	0	29644
84	0	29644
85	0	29644
86	0	29644
87	2177	31821
88	0	31821
89	0	31821
90	0	31821
91	0	31821
92	0	31821
93	0	31821
94	0	31821
95	0	31821
96	0	31821
97	0	31821
98	0	31821
99	235	32056
100	1266	33322
101	1297	34619
102	1488	36107
103	1162	37269
104	107	37376
105	293	37669
106	128	37797
107	110	37907
108	67	37974
109	454	38428
110	152	38580
111	399	38979
112	115	39094
113	53	39147
114	40	39187
115	48	39235
116	6	39241
117	43	39284
118	13	39297
119	18	39315
120	675	39990
121	0	39990
122	645	40635
123	38	40673
124	0	40673
125	0	40673
126	0	40673
127	812	41485
128	0	41485
129	0	41485
130	138	41623
131	0	41623
132	828	42451
133	98	42549
134	502	43051
135	358	43409
136	29	43438
137	59	43497
138	76	43573
139	40	43613
140	23	43636
141	78	43714
142	237	43951
143	266	44217
144	241	44458
145	0	44458
146	0	44458
147	13	44471
148	0	44471
149	0	44471
150	0	44471
151	0	44471
152	0	44471
153	30	44501
154	0	44501
155	0	44501
156	0	44501
157	2135	46636
158	0	46636
159	0	46636
160	0	46636
161	0	46636
162	0	46636
163	0	46636
164	0	46636
