Cycle	Now Cost	Total Cost

0	462	462
1	0	462
2	0	462
3	116	578
4	0	578
5	847	1425
6	0	1425
7	0	1425
8	126	1551
9	114	1665
10	1336	3001
11	110	3111
12	0	3111
13	0	3111
14	0	3111
15	421	3532
16	1239	4771
17	183	4954
18	169	5123
19	133	5256
20	965	6221
21	464	6685
22	0	6685
23	0	6685
24	135	6820
25	8692	15512
26	1297	16809
27	932	17741
28	833	18574
29	907	19481
30	502	19983
31	352	20335
32	438	20773
33	515	21288
34	392	21680
35	7094	28774
36	1308	30082
37	1354	31436
38	619	32055
39	429	32484
40	648	33132
41	503	33635
42	201	33836
43	381	34217
44	903	35120
45	1647	36767
46	206	36973
47	584	37557
48	662	38219
49	303	38522
50	1568	40090
51	1174	41264
52	746	42010
53	600	42610
54	183	42793
55	911	43704
56	26	43730
57	233	43963
58	308	44271
59	285	44556
60	2286	46842
61	21	46863
62	114	46977
63	280	47257
64	308	47565
65	825	48390
66	605	48995
67	450	49445
68	307	49752
69	447	50199
70	1258	51457
71	484	51941
72	299	52240
73	0	52240
74	130	52370
75	1627	53997
76	0	53997
77	372	54369
78	135	54504
79	369	54873
80	728	55601
81	275	55876
82	380	56256
83	276	56532
84	101	56633
85	885	57518
86	677	58195
87	543	58738
88	161	58899
89	215	59114
90	1412	60526
91	119	60645
92	413	61058
93	257	61315
94	427	61742
95	666	62408
96	0	62408
97	264	62672
98	342	63014
99	652	63666
100	1884	65550
101	1557	67107
102	737	67844
103	1612	69456
104	910	70366
105	2982	73348
106	411	73759
107	1057	74816
108	467	75283
109	1495	76778
110	1732	78510
111	1005	79515
112	752	80267
113	828	81095
114	505	81600
115	1503	83103
116	307	83410
117	452	83862
118	326	84188
119	432	84620
120	2916	87536
121	801	88337
122	325	88662
123	713	89375
124	365	89740
125	941	90681
126	235	90916
127	675	91591
128	236	91827
129	406	92233
130	476	92709
131	407	93116
132	917	94033
133	657	94690
134	863	95553
135	749	96302
136	701	97003
137	417	97420
138	532	97952
139	839	98791
140	486	99277
141	515	99792
142	1150	100942
143	336	101278
144	1146	102424
145	1728	104152
146	0	104152
147	971	105123
148	534	105657
149	843	106500
150	116	106616
151	159	106775
152	404	107179
153	174	107353
154	799	108152
155	1579	109731
156	749	110480
157	1059	111539
158	555	112094
159	605	112699
160	512	113211
161	448	113659
162	821	114480
163	645	115125
