Cycle	Now Cost	Average Cost	Number of Replication
92	292	332.35483870967744	716
93	235	331.3191489361702	668
94	166	329.57894736842104	508
95	653	332.9479166666667	824
96	295	332.55670103092785	664
97	245	331.66326530612247	576
98	259	330.92929292929296	656
99	208	329.7	548
100	480	331.18811881188117	712
101	267	330.55882352941177	552
102	252	329.79611650485435	620
103	209	328.63461538461536	544
104	197	327.3809523809524	556
105	490	328.91509433962267	692
106	259	328.2616822429907	596
107	243	327.47222222222223	592
108	235	326.6238532110092	584
109	208	325.54545454545456	536
110	518	327.27927927927925	724
111	243	326.5267857142857	544
112	236	325.72566371681415	544
113	189	324.5263157894737	464
114	167	323.1565217391304	448
115	497	324.6551724137931	680
116	273	324.21367521367523	580
117	211	323.2542372881356	520
118	191	322.14285714285717	476
119	162	320.80833333333334	440
120	383	321.3223140495868	632
121	252	320.75409836065575	584
122	211	319.8617886178862	520
123	149	318.48387096774195	364
124	142	317.072	372
125	450	318.12698412698415	608
126	203	317.2204724409449	456
127	197	316.28125	440
128	183	315.2480620155039	448
129	142	313.9153846153846	316
130	433	314.82442748091603	544
131	245	314.29545454545456	500
132	191	313.36842105263156	400
133	167	312.2761194029851	392
134	181	311.3037037037037	428
135	386	311.8529411764706	428
136	220	311.1824817518248	396
137	197	310.3550724637681	372
138	154	309.23021582733816	324
139	158	308.15	356
140	225	307.56028368794324	416
141	187	306.7112676056338	396
142	156	305.65734265734267	368
143	154	304.6041666666667	308
144	84	303.0827586206897	216
145	310	303.13013698630135	348
146	186	302.3333333333333	312
147	174	301.4662162162162	300
148	147	300.4295302013423	268
149	126	299.26666666666665	280
150	293	299.2251655629139	328
151	143	298.19736842105266	240
152	137	297.1437908496732	260
153	105	295.8961038961039	216
154	93	294.5870967741935	188
155	270	294.4294871794872	356
156	175	293.6687898089172	324
157	125	292.6012658227848	216
158	88	291.314465408805	176
159	122	290.25625	232
160	318	290.42857142857144	296
161	158	289.6111111111111	240
162	124	288.5950920245399	192
163	144	287.7134146341463	224
164	142	286.830303030303	244
165	165	286.09638554216866	240
166	110	285.0419161676647	188
167	125	284.0892857142857	196
168	104	283.02366863905326	192
169	106	281.9823529411765	148
170	233	281.69590643274853	168
171	138	280.86046511627904	172
172	78	279.6878612716763	116
173	86	278.57471264367814	160
174	72	277.39428571428573	120
175	210	277.0113636363636	204
176	141	276.2429378531073	140
177	104	275.2752808988764	144
178	96	274.2737430167598	128
179	76	273.1722222222222	124
180	139	272.43093922651934	176
181	78	271.3626373626374	128
182	75	270.2896174863388	112
183	94	269.33152173913044	140
184	70	268.25405405405405	108
185	125	267.48387096774195	104
186	130	266.7486631016043	124
187	61	265.65425531914894	76
188	58	264.55555555555554	88
189	73	263.5473684210526	100
190	156	262.9842931937173	108
191	136	262.3229166666667	124
192	62	261.2849740932642	76
193	69	260.2938144329897	88
194	62	259.2769230769231	48
195	157	258.7551020408163	84
196	61	257.75126903553297	72
197	94	256.92424242424244	84
198	102	256.1457286432161	76
199	42	255.075	56
200	138	254.49253731343285	92
201	102	253.73762376237624	64
202	57	252.76847290640393	48
203	65	251.84803921568627	52
204	51	250.86829268292684	56
205	67	249.9757281553398	52
206	42	248.97101449275362	60
207	64	248.08173076923077	60
208	43	247.10047846889952	36
209	52	246.17142857142858	40
210	32	245.1563981042654	32
211	28	244.1320754716981	32
212	23	243.093896713615	20
213	58	242.2289719626168	36
214	34	241.26046511627908	28
215	24	240.25462962962962	16
216	16	239.22119815668202	20
217	37	238.29357798165137	16
218	354	238.82191780821918	21
219	23	237.8409090909091	20
220	42	236.9547511312217	24
221	49	236.1081081081081	40
222	8	235.08520179372198	8
223	34	234.1875	20
224	45	233.34666666666666	24
225	29	232.44247787610618	16
226	19	231.5022026431718	12
227	17	230.56140350877192	12
228	2	229.56331877729258	4
229	6	228.59130434782608	4
230	72	227.91341991341992	24
231	36	227.08620689655172	16
232	45	226.3047210300429	16
233	26	225.44871794871796	12
234	21	224.57872340425533	16
235	345	225.08898305084745	9
236	14	224.1983122362869	4
237	0	223.2563025210084	0
238	0	222.32217573221757	0
239	5	221.41666666666666	4
240	3337	234.34439834024897	10
241	369	234.900826446281	5
242	10	233.97530864197532	4
243	0	233.01639344262296	0
244	12	232.11428571428573	4
245	3021	243.4512195121951	9
246	43	242.63967611336034	16
247	342	243.04032258064515	5
248	665	244.73493975903614	6
249	1304	248.972	4
250	15	248.0398406374502	4
251	1648	253.5952380952381	13
252	1007	256.57312252964425	7
253	0	255.56299212598427	0
254	1031	258.60392156862747	15
255	1315	262.73046875	4
256	0	261.7081712062257	0
257	1010	264.6085271317829	3
258	0	263.5868725868726	0
259	354	263.93461538461537	1
260	0	262.92337164750955	0
261	0	261.91984732824426	0
262	0	260.9239543726236	0
263	1000	263.7234848484849	7
264	0	262.72830188679245	0
265	664	264.2368421052632	2
266	2374	272.1385767790262	7
267	1679	277.3880597014925	5
268	316	277.53159851301115	1
269	0	276.5037037037037	0
270	996	279.15867158671585	3
271	329	279.34191176470586	1
272	2941	289.09157509157507	9
273	334	289.2554744525547	1
274	1333	293.0509090909091	4
275	711	294.5652173913044	2
276	324	294.6714801444043	1
277	981	297.14028776978415	3
278	982	299.59498207885304	3
279	687	300.97857142857146	2
280	336	301.1032028469751	1
281	3709	313.18794326241135	11
282	3725	325.24381625441697	11
283	698	326.556338028169	2
