Cycle	Now Cost	Average Cost	Number of Replication
318	0	173.4514106583072	0
319	0	172.909375	0
320	0	172.37071651090343	0
321	0	171.83540372670808	0
322	0	171.30340557275542	0
323	0	170.77469135802468	0
324	0	170.24923076923076	0
325	0	169.72699386503066	0
326	0	169.20795107033638	0
327	0	168.6920731707317	0
328	0	168.1793313069909	0
329	0	167.66969696969696	0
330	0	167.1631419939577	0
331	0	166.65963855421685	0
332	0	166.15915915915915	0
333	0	165.66167664670658	0
334	0	165.16716417910447	0
335	0	164.67559523809524	0
336	0	164.18694362017803	0
337	0	163.70118343195267	0
338	0	163.21828908554573	0
339	0	162.73823529411766	0
340	0	162.26099706744867	0
341	0	161.78654970760235	0
342	0	161.3148688046647	0
343	0	160.84593023255815	0
344	0	160.37971014492754	0
345	0	159.91618497109826	0
346	0	159.45533141210376	0
347	0	158.9971264367816	0
348	0	158.54154727793696	0
349	0	158.08857142857144	0
350	0	157.63817663817665	0
351	0	157.1903409090909	0
352	0	156.74504249291786	0
353	0	156.30225988700565	0
354	0	155.8619718309859	0
355	0	155.42415730337078	0
356	0	154.98879551820727	0
357	0	154.5558659217877	0
358	0	154.12534818941504	0
359	0	153.69722222222222	0
360	0	153.27146814404432	0
361	0	152.84806629834253	0
362	0	152.42699724517905	0
363	0	152.00824175824175	0
364	0	151.5917808219178	0
365	0	151.1775956284153	0
366	0	150.76566757493188	0
367	0	150.35597826086956	0
368	0	149.94850948509486	0
369	0	149.54324324324324	0
370	0	149.14016172506737	0
371	0	148.73924731182797	0
372	0	148.34048257372655	0
373	0	147.94385026737967	0
374	0	147.54933333333332	0
375	0	147.15691489361703	0
376	0	146.76657824933687	0
377	0	146.3783068783069	0
378	0	145.9920844327177	0
379	0	145.6078947368421	0
380	0	145.2257217847769	0
381	0	144.8455497382199	0
382	0	144.46736292428199	0
383	0	144.09114583333334	0
384	0	143.7168831168831	0
385	0	143.34455958549222	0
386	0	142.97416020671835	0
387	0	142.6056701030928	0
388	0	142.23907455012852	0
389	0	141.87435897435898	0
390	0	141.51150895140665	0
391	0	141.15051020408163	0
392	0	140.7913486005089	0
393	0	140.43401015228426	0
394	0	140.07848101265822	0
395	0	139.7247474747475	0
396	0	139.3727959697733	0
397	0	139.02261306532662	0
398	0	138.67418546365914	0
399	0	138.3275	0
400	0	137.98254364089775	0
401	0	137.63930348258705	0
402	0	137.29776674937966	0
403	0	136.95792079207922	0
404	0	136.61975308641976	0
405	0	136.2832512315271	0
406	0	135.94840294840296	0
407	0	135.61519607843138	0
408	0	135.2836185819071	0
409	0	134.95365853658538	0
410	0	134.62530413625305	0
411	0	134.29854368932038	0
412	0	133.97336561743342	0
413	0	133.6497584541063	0
414	0	133.3277108433735	0
415	0	133.00721153846155	0
416	0	132.6882494004796	0
417	0	132.37081339712918	0
418	0	132.054892601432	0
419	0	131.7404761904762	0
420	0	131.42755344418052	0
421	0	131.11611374407582	0
422	0	130.806146572104	0
423	0	130.49764150943398	0
424	0	130.19058823529411	0
425	0	129.8849765258216	0
426	0	129.5807962529274	0
427	0	129.27803738317758	0
428	0	128.97668997668998	0
429	0	128.6767441860465	0
430	0	128.37819025522043	0
431	0	128.0810185185185	0
432	0	127.78521939953811	0
433	0	127.49078341013825	0
434	0	127.19770114942528	0
435	0	126.9059633027523	0
436	0	126.61556064073227	0
437	0	126.32648401826484	0
438	0	126.03872437357631	0
439	0	125.75227272727273	0
440	0	125.46712018140589	0
441	0	125.18325791855203	0
442	0	124.90067720090293	0
443	0	124.61936936936937	0
444	0	124.33932584269662	0
445	0	124.06053811659193	0
446	0	123.78299776286353	0
447	0	123.50669642857143	0
448	0	123.2316258351893	0
449	0	122.95777777777778	0
450	0	122.68514412416852	0
451	0	122.41371681415929	0
452	0	122.14348785871965	0
453	0	121.87444933920705	0
454	0	121.6065934065934	0
455	0	121.33991228070175	0
456	0	121.07439824945295	0
457	0	120.81004366812228	0
458	0	120.54684095860567	0
459	0	120.28478260869565	0
460	0	120.02386117136659	0
461	0	119.76406926406926	0
462	0	119.50539956803456	0
463	0	119.2478448275862	0
464	0	118.99139784946236	0
465	0	118.73605150214593	0
466	0	118.48179871520342	0
467	0	118.22863247863248	0
468	0	117.97654584221749	0
469	0	117.72553191489362	0
470	0	117.4755838641189	0
471	0	117.22669491525424	0
472	0	116.97885835095137	0
473	0	116.73206751054852	0
474	0	116.48631578947368	0
475	0	116.24159663865547	0
476	0	115.99790356394129	0
477	0	115.75523012552301	0
478	0	115.51356993736952	0
479	0	115.27291666666666	0
480	0	115.03326403326403	0
481	0	114.79460580912863	0
482	0	114.55693581780538	0
483	0	114.3202479338843	0
484	0	114.08453608247423	0
485	0	113.84979423868313	0
486	0	113.61601642710473	0
487	0	113.38319672131148	0
488	0	113.15132924335379	0
489	0	112.92040816326531	0
490	0	112.69042769857434	0
491	0	112.46138211382114	0
492	0	112.23326572008114	0
493	0	112.00607287449392	0
494	0	111.77979797979798	0
495	0	111.55443548387096	0
496	0	111.32997987927565	0
497	0	111.10642570281125	0
498	0	110.88376753507013	0
499	0	110.662	0
