Cycle	Now Cost	Total Cost

0	4913	4913
1	1425	6338
2	810	7148
3	426	7574
4	220	7794
5	8109	15903
6	1556	17459
7	1112	18571
8	561	19132
9	719	19851
10	5268	25119
11	1660	26779
12	931	27710
13	1174	28884
14	926	29810
15	3489	33299
16	821	34120
17	565	34685
18	512	35197
19	720	35917
20	439	36356
21	325	36681
22	523	37204
23	253	37457
24	329	37786
25	3107	40893
26	1333	42226
27	893	43119
28	736	43855
29	434	44289
30	7635	51924
31	1482	53406
32	1151	54557
33	1225	55782
34	651	56433
35	2118	58551
36	1688	60239
37	1779	62018
38	815	62833
39	502	63335
40	6848	70183
41	2098	72281
42	1227	73508
43	1084	74592
44	901	75493
45	7273	82766
46	1571	84337
47	1098	85435
48	1051	86486
49	694	87180
50	8175	95355
51	1600	96955
52	1129	98084
53	930	99014
54	787	99801
55	5050	104851
56	2477	107328
57	1359	108687
58	872	109559
59	774	110333
60	2899	113232
61	1101	114333
62	871	115204
63	852	116056
64	1130	117186
65	8087	125273
66	2262	127535
67	1307	128842
68	1087	129929
69	1175	131104
70	852	131956
71	1792	133748
72	544	134292
73	863	135155
74	733	135888
75	2556	138444
76	606	139050
77	1464	140514
78	1494	142008
79	836	142844
80	9145	151989
81	1752	153741
82	1316	155057
83	1236	156293
84	965	157258
85	7091	164349
86	1789	166138
87	1089	167227
88	789	168016
89	922	168938
90	7722	176660
91	1961	178621
92	1296	179917
93	1201	181118
94	855	181973
95	2782	184755
96	1672	186427
97	1218	187645
98	733	188378
99	885	189263
100	6118	195381
101	1836	197217
102	1756	198973
103	1032	200005
104	1003	201008
105	10860	211868
106	2154	214022
107	1786	215808
108	1114	216922
109	865	217787
110	11460	229247
111	2094	231341
112	1500	232841
113	1511	234352
114	979	235331
115	6753	242084
116	2279	244363
117	1596	245959
118	1303	247262
119	1311	248573
120	9340	257913
121	2334	260247
122	1379	261626
123	1035	262661
124	1174	263835
125	5322	269157
126	1593	270750
127	1283	272033
128	1198	273231
129	1573	274804
130	7075	281879
131	1911	283790
132	1846	285636
133	999	286635
134	849	287484
135	3200	290684
136	1874	292558
137	1418	293976
138	604	294580
139	1110	295690
140	3725	299415
141	1054	300469
