Cycle	Now Cost	Total Cost

0	4913	4913
1	1425	6338
2	810	7148
3	426	7574
4	220	7794
5	8109	15903
6	1556	17459
7	1112	18571
8	561	19132
9	719	19851
10	5268	25119
11	1660	26779
12	931	27710
13	1174	28884
14	926	29810
15	3489	33299
16	821	34120
17	565	34685
18	512	35197
19	415	35612
20	439	36051
21	325	36376
22	327	36703
23	253	36956
24	855	37811
25	3107	40918
26	1333	42251
27	893	43144
28	736	43880
29	434	44314
30	7635	51949
31	1482	53431
32	1151	54582
33	1352	55934
34	651	56585
35	595	57180
36	1873	59053
37	1979	61032
38	815	61847
39	502	62349
40	6898	69247
41	2098	71345
42	1102	72447
43	934	73381
44	767	74148
45	7273	81421
46	1571	82992
47	1098	84090
48	1051	85141
49	694	85835
50	8175	94010
51	1600	95610
52	1129	96739
53	930	97669
54	787	98456
55	5050	103506
56	2477	105983
57	1197	107180
58	872	108052
59	774	108826
60	2899	111725
61	1101	112826
62	643	113469
63	852	114321
64	844	115165
65	8087	123252
66	2262	125514
67	1307	126821
68	1087	127908
69	1175	129083
70	852	129935
71	1792	131727
72	544	132271
73	664	132935
74	516	133451
75	2556	136007
76	606	136613
77	1464	138077
78	983	139060
79	836	139896
80	8912	148808
81	1752	150560
82	1316	151876
83	1048	152924
84	965	153889
85	7091	160980
86	1789	162769
87	1089	163858
88	789	164647
89	922	165569
90	7722	173291
91	1961	175252
92	1296	176548
93	932	177480
94	855	178335
95	2782	181117
96	1515	182632
97	1218	183850
98	733	184583
99	885	185468
100	6118	191586
101	1836	193422
102	1552	194974
103	1032	196006
104	1003	197009
105	10860	207869
106	2154	210023
107	1550	211573
108	947	212520
109	865	213385
110	11152	224537
111	2094	226631
112	1500	228131
113	1079	229210
114	979	230189
115	6467	236656
116	1907	238563
117	1316	239879
118	1303	241182
119	1065	242247
120	9226	251473
121	2334	253807
122	1379	255186
123	1035	256221
124	1174	257395
125	3961	261356
126	1333	262689
127	1283	263972
128	1198	265170
129	1075	266245
130	6628	272873
131	1911	274784
132	1569	276353
133	848	277201
134	849	278050
135	3200	281250
136	759	282009
137	1418	283427
138	652	284079
139	1307	285386
140	2919	288305
141	1054	289359
