Cycle	Now Cost	Total Cost

0	11546	11546
1	1300	12846
2	375	13221
3	99	13320
4	18	13338
5	6439	19777
6	1218	20995
7	269	21264
8	59	21323
9	38	21361
10	4043	25404
11	629	26033
12	139	26172
13	19	26191
14	0	26191
15	7080	33271
16	1160	34431
17	200	34631
18	92	34723
19	15	34738
20	11785	46523
21	1418	47941
22	312	48253
23	104	48357
24	30	48387
25	1376	49763
26	3	49766
27	198	49964
28	161	50125
29	328	50453
30	8941	59394
31	1679	61073
32	337	61410
33	93	61503
34	258	61761
35	1224	62985
36	1400	64385
37	1890	66275
38	605	66880
39	175	67055
40	8567	75622
41	1119	76741
42	609	77350
43	244	77594
44	655	78249
45	10242	88491
46	1740	90231
47	1056	91287
48	82	91369
49	566	91935
50	478	92413
51	1156	93569
52	500	94069
53	602	94671
54	758	95429
55	9849	105278
56	752	106030
57	224	106254
58	727	106981
59	1075	108056
60	11966	120022
61	1632	121654
62	2598	124252
63	4366	128618
64	2856	131474
65	10816	142290
66	2383	144673
67	3347	148020
68	2306	150326
69	1179	151505
70	14264	165769
71	2665	168434
72	2398	170832
73	1790	172622
74	1500	174122
75	9866	183988
76	3776	187764
77	3370	191134
78	5779	196913
79	5587	202500
80	17846	220346
81	7228	227574
82	3808	231382
83	5312	236694
84	6227	242921
85	16983	259904
86	7980	267884
87	5061	272945
88	5303	278248
89	7491	285739
90	13219	298958
91	10185	309143
92	4512	313655
93	6637	320292
94	6770	327062
95	6694	333756
96	7513	341269
97	10145	351414
98	5122	356536
99	6908	363444
100	13491	376935
101	12754	389689
102	19541	409230
103	8157	417387
104	10039	427426
105	13200	440626
106	13959	454585
107	14486	469071
108	6398	475469
109	7652	483121
110	16664	499785
111	14154	513939
112	12354	526293
113	10942	537235
114	13697	550932
115	16974	567906
116	9346	577252
117	8176	585428
118	7714	593142
119	7653	600795
120	18030	618825
121	12735	631560
122	10115	641675
123	14303	655978
124	16939	672917
125	28691	701608
126	8742	710350
127	10074	720424
128	18631	739055
129	15896	754951
130	18127	773078
131	11846	784924
132	14041	798965
133	14270	813235
134	18168	831403
135	24576	855979
136	19572	875551
137	12226	887777
138	15590	903367
139	17804	921171
140	21590	942761
141	21492	964253
142	15562	979815
143	23566	1003381
144	23156	1026537
145	19969	1046506
146	17560	1064066
147	17422	1081488
148	32237	1113725
149	21799	1135524
150	30257	1165781
151	17471	1183252
152	26331	1209583
153	26212	1235795
154	30386	1266181
155	22110	1288291
156	23892	1312183
157	17965	1330148
158	16428	1346576
159	24769	1371345
160	22624	1393969
161	21731	1415700
162	19122	1434822
163	23273	1458095
164	24027	1482122
165	21731	1503853
166	31839	1535692
167	22334	1558026
168	24330	1582356
169	25433	1607789
170	26425	1634214
171	18609	1652823
172	33240	1686063
173	22494	1708557
174	21499	1730056
175	31466	1761522
176	33527	1795049
177	34195	1829244
178	27496	1856740
179	16377	1873117
180	39917	1913034
181	31174	1944208
182	26824	1971032
183	24475	1995507
184	26353	2021860
185	27059	2048919
186	24523	2073442
187	36759	2110201
188	46555	2156756
189	29724	2186480
190	42964	2229444
191	59544	2288988
192	28494	2317482
193	33009	2350491
194	34941	2385432
195	50706	2436138
196	48776	2484914
197	35258	2520172
198	28614	2548786
199	25056	2573842
200	60766	2634608
201	22453	2657061
202	37595	2694656
203	38528	2733184
204	35103	2768287
205	38084	2806371
206	31234	2837605
207	46958	2884563
208	28691	2913254
209	43234	2956488
210	40262	2996750
211	42368	3039118
212	37513	3076631
213	32822	3109453
214	26830	3136283
215	64472	3200755
216	59001	3259756
217	34961	3294717
218	28700	3323417
219	44030	3367447
220	34455	3401902
221	61174	3463076
222	50879	3513955
223	53012	3566967
224	42869	3609836
225	64711	3674547
226	54234	3728781
227	52831	3781612
228	41278	3822890
229	59716	3882606
230	76905	3959511
231	41243	4000754
232	45687	4046441
233	67332	4113773
234	53195	4166968
235	63286	4230254
236	56012	4286266
237	48629	4334895
238	39645	4374540
239	49557	4424097
240	72720	4496817
241	40579	4537396
242	40217	4577613
243	56690	4634303
244	62035	4696338
245	55377	4751715
246	51555	4803270
247	53890	4857160
248	45727	4902887
249	50908	4953795
250	70139	5023934
251	74927	5098861
252	41028	5139889
253	57160	5197049
254	64075	5261124
255	49632	5310756
256	54631	5365387
257	45874	5411261
258	56678	5467939
259	64013	5531952
260	43039	5574991
261	48718	5623709
262	62111	5685820
263	50739	5736559
264	61611	5798170
265	75799	5873969
266	44426	5918395
267	72179	5990574
268	38118	6028692
269	69643	6098335
270	46439	6144774
271	44115	6188889
272	31801	6220690
273	66483	6287173
274	70661	6357834
275	69087	6426921
276	46137	6473058
277	74524	6547582
278	51653	6599235
279	58691	6657926
280	67679	6725605
281	62327	6787932
282	56191	6844123
283	55228	6899351
284	52605	6951956
285	57309	7009265
286	69507	7078772
287	54832	7133604
288	34911	7168515
289	49139	7217654
290	75639	7293293
291	61008	7354301
292	65134	7419435
293	27745	7447180
294	50032	7497212
295	66419	7563631
296	53007	7616638
297	77463	7694101
298	51176	7745277
299	54016	7799293
300	46825	7846118
301	50001	7896119
302	43414	7939533
303	68916	8008449
304	75928	8084377
305	38707	8123084
306	51571	8174655
307	50835	8225490
308	72290	8297780
309	42709	8340489
310	72570	8413059
311	52006	8465065
312	48085	8513150
313	69784	8582934
314	58780	8641714
315	36640	8678354
316	59629	8737983
317	60728	8798711
318	50366	8849077
319	47165	8896242
320	54168	8950410
321	53724	9004134
322	24954	9029088
323	51566	9080654
324	42744	9123398
325	40709	9164107
326	47032	9211139
327	87004	9298143
328	62515	9360658
329	65632	9426290
330	60651	9486941
331	39076	9526017
332	41513	9567530
333	47687	9615217
334	70337	9685554
335	59578	9745132
336	76599	9821731
337	61259	9882990
338	67519	9950509
339	50966	10001475
340	42290	10043765
341	56141	10099906
342	38401	10138307
343	42974	10181281
344	53520	10234801
345	43084	10277885
346	43688	10321573
347	73852	10395425
348	47665	10443090
349	63194	10506284
350	51801	10558085
351	62529	10620614
352	50858	10671472
353	65272	10736744
354	47408	10784152
355	51559	10835711
356	62543	10898254
357	28179	10926433
358	69132	10995565
359	38822	11034387
360	42146	11076533
361	50295	11126828
362	64237	11191065
363	43858	11234923
364	48015	11282938
365	65295	11348233
366	58698	11406931
367	53967	11460898
368	37436	11498334
369	58061	11556395
370	44738	11601133
371	43499	11644632
372	42982	11687614
373	49157	11736771
374	51341	11788112
375	61579	11849691
376	57808	11907499
377	52019	11959518
378	45289	12004807
379	35551	12040358
380	60831	12101189
381	62606	12163795
382	51218	12215013
383	66573	12281586
384	62063	12343649
385	42786	12386435
386	49366	12435801
387	46202	12482003
388	49444	12531447
389	57539	12588986
390	53904	12642890
391	40062	12682952
392	48673	12731625
393	46943	12778568
394	45116	12823684
395	52999	12876683
396	62526	12939209
397	67154	13006363
398	59746	13066109
399	50808	13116917
400	44449	13161366
401	46871	13208237
402	52007	13260244
403	58394	13318638
404	59670	13378308
405	59501	13437809
406	43730	13481539
407	52622	13534161
408	46430	13580591
409	90619	13671210
410	58459	13729669
411	41526	13771195
412	69489	13840684
413	66138	13906822
414	47974	13954796
415	38300	13993096
416	47633	14040729
417	63762	14104491
418	43984	14148475
419	61862	14210337
420	57925	14268262
421	47943	14316205
422	55838	14372043
423	54727	14426770
424	62644	14489414
425	40274	14529688
426	56777	14586465
427	42341	14628806
428	54218	14683024
429	72726	14755750
430	50164	14805914
431	42713	14848627
432	48455	14897082
433	48589	14945671
434	42277	14987948
435	54656	15042604
436	63021	15105625
437	41263	15146888
438	49688	15196576
439	41441	15238017
440	43061	15281078
441	53587	15334665
442	51869	15386534
443	44537	15431071
444	86590	15517661
445	53512	15571173
446	57115	15628288
447	49843	15678131
448	60777	15738908
449	48638	15787546
450	70508	15858054
451	49374	15907428
452	56276	15963704
453	48659	16012363
454	51169	16063532
455	55777	16119309
456	29900	16149209
457	55071	16204280
458	52909	16257189
459	37900	16295089
460	43033	16338122
461	59167	16397289
462	67047	16464336
463	56880	16521216
464	48505	16569721
465	52055	16621776
466	42042	16663818
467	55407	16719225
468	34955	16754180
469	54227	16808407
470	48583	16856990
471	32524	16889514
472	35216	16924730
473	44722	16969452
474	34197	17003649
475	54137	17057786
476	52461	17110247
477	58310	17168557
478	63014	17231571
479	52259	17283830
480	45406	17329236
481	58456	17387692
482	42986	17430678
483	60658	17491336
484	64668	17556004
485	40662	17596666
486	41345	17638011
487	54705	17692716
488	52887	17745603
489	37200	17782803
490	63773	17846576
491	47770	17894346
492	49091	17943437
493	47480	17990917
494	47038	18037955
495	50105	18088060
496	30763	18118823
497	56569	18175392
498	52344	18227736
499	37905	18265641
