Cycle	Now Cost	Average Cost
269	9786	1270.5296296296297
270	0	1265.8413284132841
271	4291	1276.9632352941176
272	299	1273.3809523809523
273	334	1269.9525547445255
274	4210	1280.6436363636365
275	2559	1285.2753623188405
276	2229	1288.6823104693142
277	2789	1294.0791366906474
278	2655	1298.9569892473119
279	221	1295.107142857143
280	540	1292.4199288256227
281	0	1287.836879432624
282	1555	1288.7809187279152
283	3739	1297.4084507042253
284	5383	1311.743859649123
285	1727	1313.1958041958042
286	0	1308.6202090592335
287	3141	1314.982638888889
288	2483	1319.0242214532873
289	4576	1330.2551724137932
290	1494	1330.8178694158075
291	2827	1335.9417808219177
292	888	1334.4129692832764
293	694	1332.234693877551
294	2365	1335.735593220339
295	580	1333.1824324324325
296	3510	1340.5117845117845
297	1419	1340.775167785235
298	1142	1340.1103678929767
299	4435	1350.4266666666667
300	1984	1352.5315614617941
301	9389	1379.1423841059602
302	0	1374.5907590759075
303	331	1371.157894736842
304	4415	1381.1377049180328
305	0	1376.624183006536
306	666	1374.3094462540716
307	7306	1393.5681818181818
308	3651	1400.873786407767
309	2354	1403.9483870967742
310	3119	1409.4630225080386
311	7690	1429.5929487179487
312	592	1426.9169329073482
313	1217	1426.248407643312
314	4042	1434.5523809523809
315	0	1430.012658227848
316	2018	1431.8675078864353
317	3139	1437.2358490566037
318	3051	1442.294670846395
319	8328	1463.8125
320	6250	1478.7227414330218
321	4559	1488.2888198757764
322	3131	1493.3746130030959
323	2230	1495.648148148148
324	2898	1499.9630769230769
325	4528	1509.2515337423313
326	1134	1508.1039755351683
327	1490	1508.0487804878048
328	3173	1513.109422492401
329	4638	1522.5787878787878
330	5139	1533.5045317220545
331	3172	1538.4397590361446
332	4891	1548.5075075075074
333	823	1546.3353293413174
334	1067	1544.9044776119404
335	1836	1545.7708333333333
336	10037	1570.967359050445
337	1296	1570.1538461538462
338	380	1566.6430678466077
339	969	1564.8852941176472
340	5872	1577.516129032258
341	4261	1585.3625730994152
342	1290	1584.5014577259476
343	3067	1588.8110465116279
344	2136	1590.3971014492754
345	698	1587.8179190751446
346	962	1586.014409221902
347	0	1581.4568965517242
348	3073	1585.7306590257879
349	1704	1586.0685714285714
350	5293	1596.6296296296296
351	4994	1606.28125
352	565	1603.3314447592068
353	2436	1605.683615819209
354	0	1601.1605633802817
355	6693	1615.4634831460673
356	5120	1625.280112044818
357	3254	1629.8296089385474
358	1363	1629.0863509749304
359	1787	1629.525
360	532	1626.4847645429363
361	652	1623.792817679558
362	5388	1634.1625344352617
363	1504	1633.8049450549452
364	1201	1632.6191780821919
365	526	1629.5956284153006
366	0	1625.1553133514985
367	0	1620.7391304347825
