Cycle	Now Cost	Average Cost

0	0	0.0
1	0	0.0
2	0	0.0
3	0	0.0
4	0	0.0
5	2089	348.1666666666667
6	716	400.7142857142857
7	1948	594.125
8	376	569.8888888888889
9	406	553.5
10	529	551.2727272727273
11	2322	698.8333333333334
12	26	647.0769230769231
13	131	610.2142857142857
14	0	569.5333333333333
15	41	536.5
16	23	506.29411764705884
17	19	479.22222222222223
18	35	455.8421052631579
19	445	455.3
20	4142	630.8571428571429
21	1050	649.9090909090909
22	1141	671.2608695652174
23	446	661.875
24	425	652.4
25	240	636.5384615384615
26	354	626.074074074074
27	225	611.75
28	178	596.7931034482758
29	172	582.6333333333333
30	139	568.3225806451613
31	139	554.90625
32	87	540.7272727272727
33	51	526.3235294117648
34	215	517.4285714285714
35	5048	643.2777777777778
36	1021	653.4864864864865
37	537	650.421052631579
38	625	649.7692307692307
39	413	643.85
40	401	637.9268292682926
41	277	629.3333333333334
42	260	620.7441860465116
43	197	611.1136363636364
44	172	601.3555555555556
45	230	593.2826086956521
46	116	583.1276595744681
47	91	572.875
48	98	563.1836734693877
49	101	553.94
50	99	545.0196078431372
51	61	535.7115384615385
52	54	526.622641509434
53	51	517.8148148148148
54	20	508.76363636363635
55	24	500.10714285714283
56	14	491.57894736842104
57	23	483.5
58	17	475.59322033898303
59	10	467.8333333333333
60	4	460.2295081967213
61	10	452.96774193548384
62	0	445.77777777777777
63	1	438.828125
64	0	432.0769230769231
65	0	425.530303030303
66	0	419.17910447761193
67	60	413.8970588235294
68	0	407.8985507246377
69	0	402.07142857142856
70	0	396.40845070422534
71	0	390.90277777777777
72	0	385.54794520547944
73	0	380.3378378378378
74	0	375.26666666666665
75	0	370.32894736842104
76	0	365.5194805194805
77	0	360.8333333333333
78	0	356.26582278481015
79	0	351.8125
80	0	347.4691358024691
81	0	343.2317073170732
82	0	339.09638554216866
83	0	335.0595238095238
84	0	331.11764705882354
85	0	327.2674418604651
86	0	323.5057471264368
87	0	319.82954545454544
88	0	316.23595505617976
89	0	312.72222222222223
90	0	309.2857142857143
91	0	305.92391304347825
92	0	302.63440860215053
93	0	299.4148936170213
94	0	296.2631578947368
95	0	293.1770833333333
96	0	290.1546391752577
97	0	287.1938775510204
98	0	284.2929292929293
99	0	281.45
100	161	280.25742574257424
101	174	279.2156862745098
102	0	276.50485436893206
103	0	273.84615384615387
104	0	271.23809523809524
105	0	268.6792452830189
106	0	266.1682242990654
107	456	267.9259259259259
108	0	265.4678899082569
109	691	269.3363636363636
110	985	275.7837837837838
111	0	273.32142857142856
112	0	270.9026548672566
113	56	269.0175438596491
114	0	266.67826086956524
115	0	264.37931034482756
116	696	268.0683760683761
