Cycle	Now Cost	Average Cost

0	836	836.0
1	0	418.0
2	0	278.6666666666667
3	0	209.0
4	0	167.2
5	70	151.0
6	158	152.0
7	82	143.25
8	34	131.11111111111111
9	18	119.8
10	1215	219.36363636363637
11	22	202.91666666666666
12	3	187.53846153846155
13	11	174.92857142857142
14	0	163.26666666666668
15	750	199.9375
16	4	188.41176470588235
17	3	178.11111111111111
18	4	168.94736842105263
19	13	161.15
20	187	162.38095238095238
21	207	164.4090909090909
22	115	162.2608695652174
23	411	172.625
24	53	167.84
25	1512	219.53846153846155
26	281	221.8148148148148
27	207	221.28571428571428
28	39	215.0
29	34	208.96666666666667
30	809	228.32258064516128
31	24	221.9375
32	15	215.66666666666666
33	112	212.61764705882354
34	177	211.6
35	500	219.61111111111111
36	266	220.86486486486487
37	112	218.0
38	131	215.76923076923077
39	404	220.475
40	296	222.3170731707317
41	331	224.9047619047619
42	208	224.51162790697674
43	71	221.02272727272728
44	64	217.53333333333333
45	1327	241.65217391304347
46	153	239.7659574468085
47	177	238.45833333333334
48	464	243.0612244897959
49	190	242.0
50	1276	262.27450980392155
51	30	257.8076923076923
52	685	265.8679245283019
53	146	263.64814814814815
54	152	261.6181818181818
55	1085	276.32142857142856
56	136	273.859649122807
57	140	271.55172413793105
58	125	269.06779661016947
59	553	273.8
60	1422	292.62295081967216
61	124	289.9032258064516
62	103	286.93650793650795
63	1	282.46875
64	120	279.96923076923076
65	764	287.3030303030303
66	493	290.3731343283582
67	241	289.6470588235294
68	119	287.17391304347825
69	0	283.07142857142856
70	1586	301.4225352112676
71	118	298.875
72	0	294.7808219178082
73	394	296.1216216216216
74	138	294.0133333333333
75	1145	305.2105263157895
76	700	310.3376623376623
77	387	311.3205128205128
78	332	311.5822784810127
79	134	309.3625
80	1297	321.55555555555554
81	698	326.1463414634146
82	859	332.56626506024094
83	244	331.51190476190476
84	210	330.08235294117645
85	1339	341.8139534883721
86	574	344.48275862068965
87	139	342.14772727272725
88	285	341.5056179775281
89	933	348.0777777777778
90	913	354.2857142857143
91	266	353.32608695652175
92	263	352.35483870967744
93	688	355.9255319148936
94	252	354.8315789473684
95	1719	369.0416666666667
96	373	369.08247422680415
97	792	373.3979591836735
98	386	373.52525252525254
99	1003	379.82
100	1663	392.5247524752475
101	262	391.2450980392157
102	913	396.31067961165047
103	491	397.22115384615387
104	791	400.9714285714286
105	1684	413.07547169811323
106	445	413.3738317757009
107	543	414.5740740740741
108	276	413.302752293578
109	254	411.8545454545455
110	1729	423.72072072072075
111	388	423.4017857142857
112	1099	429.3805309734513
113	539	430.3421052631579
114	383	429.9304347826087
115	1493	439.0948275862069
116	856	442.65811965811963
117	393	442.23728813559325
118	368	441.61344537815125
119	985	446.14166666666665
120	1610	455.7603305785124
121	755	458.21311475409834
122	527	458.7723577235772
123	439	458.61290322580646
124	772	461.12
125	589	462.13492063492066
