Cycle	Now Cost	Average Cost

0	0	0.0
1	0	0.0
2	0	0.0
3	0	0.0
4	0	0.0
5	70	11.666666666666666
6	34	14.857142857142858
7	82	23.25
8	34	24.444444444444443
9	18	23.8
10	25	23.90909090909091
11	85	29.0
12	3	27.0
13	12	25.928571428571427
14	0	24.2
15	5	23.0
16	4	21.88235294117647
17	3	20.833333333333332
18	4	19.94736842105263
19	13	19.6
20	187	27.571428571428573
21	95	30.636363636363637
22	115	34.30434782608695
23	53	35.083333333333336
24	53	35.8
25	42	36.03846153846154
26	50	36.55555555555556
27	36	36.535714285714285
28	39	36.62068965517241
29	34	36.53333333333333
30	26	36.193548387096776
31	24	35.8125
32	15	35.18181818181818
33	10	34.44117647058823
34	35	34.457142857142856
35	500	47.388888888888886
36	165	50.567567567567565
37	112	52.18421052631579
38	131	54.205128205128204
39	111	55.625
40	98	56.65853658536585
41	82	57.26190476190476
42	79	57.76744186046512
43	71	58.06818181818182
44	64	58.2
45	83	58.73913043478261
46	58	58.723404255319146
47	54	58.625
48	43	58.30612244897959
49	44	58.02
50	47	57.80392156862745
51	30	57.26923076923077
52	31	56.77358490566038
53	21	56.111111111111114
54	13	55.32727272727273
55	14	54.589285714285715
56	7	53.75438596491228
57	8	52.96551724137931
58	5	52.152542372881356
59	4	51.35
60	1	50.52459016393443
61	6	49.806451612903224
62	0	49.01587301587302
63	1	48.265625
64	0	47.52307692307692
65	0	46.803030303030305
66	0	46.1044776119403
67	5	45.5
68	0	44.84057971014493
69	0	44.2
70	0	43.57746478873239
71	0	42.97222222222222
72	0	42.38356164383562
73	0	41.810810810810814
74	0	41.25333333333333
75	0	40.71052631578947
76	0	40.18181818181818
77	0	39.666666666666664
78	0	39.164556962025316
79	0	38.675
80	0	38.19753086419753
81	0	37.73170731707317
82	0	37.27710843373494
83	0	36.833333333333336
84	0	36.4
85	0	35.97674418604651
86	0	35.5632183908046
87	0	35.15909090909091
88	0	34.764044943820224
89	0	34.37777777777778
90	0	34.0
91	0	33.630434782608695
92	0	33.26881720430107
93	0	32.91489361702128
94	0	32.56842105263158
95	0	32.229166666666664
96	0	31.896907216494846
97	0	31.571428571428573
98	0	31.252525252525253
99	0	30.94
100	8	30.712871287128714
101	8	30.49019607843137
102	0	30.194174757281555
103	0	29.903846153846153
104	0	29.61904761904762
105	0	29.339622641509433
106	0	29.065420560747665
107	16	28.944444444444443
108	0	28.678899082568808
109	20	28.6
110	25	28.56756756756757
111	0	28.3125
112	0	28.061946902654867
113	4	27.850877192982455
114	0	27.608695652173914
115	0	27.370689655172413
116	16	27.273504273504273
117	0	27.04237288135593
118	0	26.81512605042017
119	0	26.591666666666665
