Cycle	Now Cost	Average Cost

0	678	678.0
1	180	429.0
2	138	332.0
3	138	283.5
4	101	247.0
5	74	218.16666666666666
6	118	203.85714285714286
7	172	199.875
8	128	191.88888888888889
9	89	181.6
10	565	216.45454545454547
11	272	221.08333333333334
12	186	218.3846153846154
13	204	217.35714285714286
14	221	217.6
15	164	214.25
16	159	211.0
17	116	205.72222222222223
18	130	201.73684210526315
19	108	197.05
20	98	192.33333333333334
21	118	188.95454545454547
22	135	186.6086956521739
23	97	182.875
24	102	179.64
25	82	175.8846153846154
26	58	171.5185185185185
27	54	167.32142857142858
28	55	163.44827586206895
29	32	159.06666666666666
30	129	158.09677419354838
31	56	154.90625
32	56	151.9090909090909
33	46	148.7941176470588
34	50	145.97142857142856
35	370	152.19444444444446
36	165	152.54054054054055
37	124	151.78947368421052
38	104	150.56410256410257
39	88	149.0
40	373	154.46341463414635
41	200	155.54761904761904
42	200	156.58139534883722
43	161	156.6818181818182
44	141	156.33333333333334
45	185	156.95652173913044
46	194	157.74468085106383
47	136	157.29166666666666
48	149	157.12244897959184
49	158	157.14
50	193	157.84313725490196
51	163	157.94230769230768
52	121	157.24528301886792
53	140	156.92592592592592
54	147	156.74545454545455
55	193	157.39285714285714
56	102	156.42105263157896
57	104	155.51724137931035
58	105	154.66101694915255
59	87	153.53333333333333
60	182	154.0
61	97	153.08064516129033
62	87	152.03174603174602
63	66	150.6875
64	109	150.04615384615386
65	287	152.12121212121212
66	130	151.7910447761194
67	143	151.66176470588235
68	125	151.2753623188406
69	95	150.47142857142856
70	548	156.07042253521126
71	247	157.33333333333334
72	210	158.05479452054794
73	179	158.33783783783784
74	145	158.16
75	303	160.06578947368422
76	195	160.5194805194805
77	152	160.4102564102564
78	161	160.41772151898735
79	134	160.0875
80	370	162.679012345679
81	205	163.1951219512195
82	187	163.48192771084337
83	168	163.53571428571428
84	138	163.23529411764707
85	437	166.41860465116278
86	232	167.17241379310346
87	184	167.36363636363637
88	173	167.42696629213484
89	162	167.36666666666667
90	453	170.5054945054945
91	199	170.81521739130434
92	209	171.2258064516129
