Cycle	Now Cost	Average Cost

0	8777	8777.0
1	916	4846.5
2	580	3424.3333333333335
3	506	2694.75
4	359	2227.6
5	213	1891.8333333333333
6	520	1695.857142857143
7	814	1585.625
8	901	1509.5555555555557
9	271	1385.7
10	6546	1854.8181818181818
11	1526	1827.4166666666667
12	851	1752.3076923076924
13	1038	1701.2857142857142
14	941	1650.6
15	864	1601.4375
16	816	1555.235294117647
17	513	1497.3333333333333
18	723	1456.578947368421
19	487	1408.1
20	341	1357.2857142857142
21	373	1312.5454545454545
22	1178	1306.695652173913
23	753	1283.625
24	734	1261.64
25	457	1230.6923076923076
26	454	1201.9259259259259
27	330	1170.7857142857142
28	487	1147.2068965517242
29	125	1113.1333333333334
30	2925	1171.5806451612902
31	842	1161.28125
32	902	1153.4242424242425
33	194	1125.2058823529412
34	454	1106.0285714285715
35	4040	1187.5277777777778
36	1359	1192.162162162162
37	724	1179.842105263158
38	563	1164.025641025641
39	440	1145.925
40	3597	1205.7073170731708
41	1332	1208.7142857142858
42	1072	1205.5348837209303
43	749	1195.159090909091
44	616	1182.2888888888888
45	973	1177.7391304347825
46	3129	1219.2553191489362
47	923	1213.0833333333333
48	814	1204.938775510204
49	1119	1203.22
50	1578	1210.5686274509803
51	1067	1207.8076923076924
52	839	1200.8490566037735
53	809	1193.5925925925926
54	930	1188.8
55	4470	1247.392857142857
56	983	1242.7543859649122
57	985	1238.3103448275863
58	1107	1236.084745762712
59	859	1229.8
60	3125	1260.8688524590164
61	1053	1257.516129032258
62	871	1251.3809523809523
63	689	1242.59375
64	984	1238.6153846153845
65	3487	1272.6818181818182
66	1018	1268.8805970149253
67	1112	1266.5735294117646
68	879	1260.9565217391305
69	609	1251.642857142857
70	5654	1313.6478873239437
71	1481	1315.9722222222222
72	1128	1313.3972602739725
73	1058	1309.945945945946
74	576	1300.16
75	4070	1336.6052631578948
76	1293	1336.0389610389611
77	989	1331.5897435897436
78	799	1324.8481012658228
79	672	1316.6875
80	4998	1362.1358024691358
81	1511	1363.9512195121952
82	1179	1361.7228915662652
83	937	1356.6666666666667
84	685	1348.764705882353
85	3273	1371.139534883721
86	1220	1369.4022988505747
87	837	1363.3522727272727
88	753	1356.4943820224719
89	755	1349.8111111111111
90	4587	1385.3846153846155
91	1079	1382.054347826087
92	1031	1378.279569892473
93	1071	1375.0106382978724
94	784	1368.7894736842106
95	4307	1399.3958333333333
96	1880	1404.3505154639174
97	1413	1404.438775510204
98	944	1399.7878787878788
99	705	1392.84
100	6611	1444.5049504950496
101	1704	1447.049019607843
102	1236	1445.0
103	833	1439.1153846153845
104	713	1432.2
105	8949	1503.1132075471698
106	1737	1505.2990654205607
107	1368	1504.0277777777778
108	916	1498.633027522936
109	745	1491.7818181818182
110	526	1483.081081081081
111	532	1474.5892857142858
112	460	1465.6106194690265
113	418	1456.421052631579
114	335	1446.6695652173912
115	6609	1491.1724137931035
116	1710	1493.042735042735
117	1127	1489.9406779661017
118	686	1483.18487394958
119	381	1474.0
120	7754	1525.900826446281
121	1677	1527.139344262295
122	931	1522.2926829268292
123	717	1515.7983870967741
124	588	1508.376
125	5770	1542.1984126984128
126	1504	1541.8976377952756
127	977	1537.484375
128	820	1531.922480620155
129	574	1524.553846153846
130	6649	1563.671755725191
131	1502	1563.2045454545455
132	1038	1559.2556390977443
133	923	1554.5074626865671
134	645	1547.7703703703703
135	7240	1589.625
136	1511	1589.051094890511
137	1433	1587.9202898550725
138	1155	1584.8057553956835
139	703	1578.5071428571428
140	7001	1616.9645390070923
141	1544	1616.4507042253522
142	1376	1614.7692307692307
143	804	1609.138888888889
144	441	1601.0827586206897
145	6877	1637.2191780821918
146	1768	1638.108843537415
147	1275	1635.6554054054054
148	1003	1631.4093959731545
149	773	1625.6866666666667
150	4155	1642.4370860927152
151	2161	1645.8486842105262
152	1118	1642.3986928104575
153	665	1636.051948051948
154	453	1628.4193548387098
155	5234	1651.5320512820513
156	1461	1650.3184713375797
157	1271	1647.9177215189873
158	872	1643.0377358490566
159	757	1637.5
160	7141	1671.6832298136646
161	1709	1671.9135802469136
162	1029	1667.9693251533743
163	891	1663.2317073170732
164	814	1658.0848484848484
165	7321	1692.198795180723
166	1927	1693.6047904191616
167	1089	1690.0059523809523
168	939	1685.5621301775147
169	787	1680.2764705882353
170	4857	1698.8538011695907
171	1756	1699.1860465116279
172	885	1694.4797687861271
173	1025	1690.632183908046
174	674	1684.8228571428572
175	6868	1714.2727272727273
176	1837	1714.9661016949153
177	1108	1711.556179775281
178	921	1707.1396648044692
179	632	1701.1666666666667
180	581	1694.9779005524863
181	578	1688.8406593406594
182	435	1681.9890710382513
183	409	1675.070652173913
184	287	1667.5675675675675
185	1840	1668.494623655914
