Cycle	Now Cost	Average Cost

0	678	678.0
1	180	429.0
2	138	332.0
3	138	283.5
4	101	247.0
5	1141	396.0
6	110	355.14285714285717
7	132	327.25
8	124	304.6666666666667
9	81	282.3
10	565	308.0
11	271	304.9166666666667
12	186	295.7692307692308
13	204	289.2142857142857
14	214	284.2
15	164	276.6875
16	159	269.7647058823529
17	116	261.22222222222223
18	130	254.31578947368422
19	108	247.0
20	1377	300.8095238095238
21	101	291.72727272727275
22	119	284.2173913043478
23	95	276.3333333333333
24	101	269.32
25	72	261.7307692307692
26	58	254.1851851851852
27	54	247.03571428571428
28	55	240.41379310344828
29	32	233.46666666666667
30	129	230.09677419354838
31	56	224.65625
32	56	219.54545454545453
33	28	213.91176470588235
34	40	208.94285714285715
35	370	213.41666666666666
36	165	212.1081081081081
37	124	209.78947368421052
38	104	207.07692307692307
39	88	204.1
40	373	208.21951219512195
41	200	208.02380952380952
42	200	207.8372093023256
43	161	206.77272727272728
44	141	205.3111111111111
45	185	204.8695652173913
46	194	204.63829787234042
47	136	203.20833333333334
48	149	202.10204081632654
49	158	201.22
50	193	201.05882352941177
51	163	200.32692307692307
52	121	198.83018867924528
53	140	197.74074074074073
54	147	196.8181818181818
55	193	196.75
56	102	195.08771929824562
57	104	193.51724137931035
58	105	192.01694915254237
59	87	190.26666666666668
60	182	190.13114754098362
61	97	188.6290322580645
62	87	187.015873015873
63	66	185.125
64	109	183.95384615384614
65	287	185.5151515151515
66	130	184.6865671641791
67	143	184.0735294117647
68	125	183.2173913043478
69	95	181.95714285714286
70	548	187.11267605633802
71	247	187.94444444444446
72	210	188.24657534246575
73	284	189.54054054054055
74	237	190.17333333333335
75	303	191.6578947368421
76	195	191.7012987012987
77	152	191.19230769230768
78	435	194.27848101265823
79	277	195.3125
80	491	198.96296296296296
81	205	199.03658536585365
82	187	198.89156626506025
83	168	198.52380952380952
84	138	197.81176470588235
85	563	202.0581395348837
86	232	202.4022988505747
87	184	202.1931818181818
88	173	201.86516853932585
89	265	202.56666666666666
90	453	205.3186813186813
91	199	205.25
92	209	205.29032258064515
