Cycle	Average Remaining	Standard Deviation

0	99.415	2.8560068277229687
1	99.025	3.2450154082839435
2	98.65768463073853	3.5454820471188717
3	98.29085457271364	3.88897763838914
4	98.00199302441455	4.112834778691067
5	97.70614692653673	4.343602008112089
6	97.37975951903807	4.525629055514768
7	97.03648175912043	4.797130057659062
8	96.71828171828172	4.962604707367992
9	96.46444554947787	5.065822790187762
10	95.83125312031952	5.796628046360907
11	95.13296537882589	6.267797921975779
12	94.69203805708563	6.554246928714536
13	94.17708854427214	6.801212754414188
14	93.61194029850746	7.029095458575595
15	93.09985096870342	7.265903650242406
16	92.70916334661355	7.655534249648835
17	92.46023856858847	7.697292531338528
18	92.21834496510469	7.854679737164019
19	91.98009950248756	8.073245790364805
20	91.67916041979011	8.269146215068309
21	91.50124688279301	8.51407946840675
22	91.35416666666667	8.619377672526044
23	91.27480158730158	8.693209314640143
24	91.1359126984127	8.915639057933575
25	90.9236145781328	9.006549764956173
26	90.93672147483807	9.120396624209711
27	90.9841740850643	9.146754247891717
28	91.04794859120119	9.267718543745412
29	91.14948199309325	9.346665418314727
30	91.19586614173228	9.449614724113642
31	91.34350393700787	9.46038062943837
32	91.47347740667976	9.449049093782577
33	91.6447047340166	9.439163191636084
34	91.72043010752688	9.531235420910704
35	91.38454011741683	10.19640718350844
36	91.24878048780488	10.35066548711581
37	91.14658925979681	10.457024010814692
38	91.06207565470417	10.582271530152239
39	91.06280193236715	10.729326128425063
40	90.56331246990852	11.200590329611225
41	90.22340942204954	11.352958571861619
42	89.8201263976665	11.622899366421418
43	89.56921587608906	12.068523591680762
44	89.2749391727494	12.272873645539388
45	88.98892633606162	12.343356176085289
46	88.6634382566586	12.651464948265586
47	88.58033573141486	12.671937535697712
48	88.28859060402685	12.575401417726049
49	88.07468477206595	12.71349120384709
50	87.75313404050145	13.126524512717703
51	87.63170613823102	13.366763180017157
52	87.55395683453237	13.402062222334626
53	87.44364508393285	13.570719462578156
54	87.32272069464544	13.784578753144215
55	87.37120847376023	13.924101050362664
56	87.44364508393285	14.082330298557983
57	87.35009671179884	14.116166268578239
58	87.36279747450219	14.26644311818448
59	87.38072054527751	14.521526660227568
60	87.32843137254902	14.587386156237878
61	87.45953898970083	14.677025430040628
62	87.65251342118107	14.659485194538668
63	87.78212017586712	14.79639576617697
64	87.9130009775171	14.807213626832265
65	87.69381746810599	15.138131559633527
66	87.71273979340876	15.299925643668686
67	87.80463739516527	15.44356603678935
68	87.88385826771653	15.430471920810724
69	87.90227048371175	15.527055582137018
70	87.23161033797217	15.971693759936976
71	86.78624813153961	16.127432538551112
72	86.64352999504214	16.153979490483025
73	86.57142857142857	16.22480182404147
74	86.38454011741683	16.254233228527273
75	86.03829160530192	16.507045859613513
76	85.8321060382916	16.488994947475874
77	85.77712609970675	16.525549006818267
78	85.56534508076358	16.55485490067938
79	85.50414028251339	16.725010059334924
80	85.28522671867381	16.84796921001683
81	85.01459143968872	16.97053439483531
82	84.73479318734793	17.318321183453712
83	84.58515283842794	17.53894794544213
84	84.44551591128254	17.71160949681027
85	83.55212355212355	18.158974748543528
86	83.23500967117988	18.42779629480879
87	82.95081967213115	18.63721407015063
88	82.71942446043165	19.012684894888984
89	82.47719635141623	19.242196702148046
90	81.88461538461539	19.55809885365204
91	81.68912415784408	19.786533411670398
92	81.44290492116579	19.88027462972711
93	81.21472979435677	19.795214668914213
94	81.05086372360844	19.989780504899795
95	80.61390887290167	20.287398446635933
96	80.19157088122606	20.55173895931204
97	79.7667777248929	20.662154925347544
98	79.33110367892976	20.903763006027283
99	78.92241379310344	21.373559548203367
100	78.19884726224784	21.90259080850799
101	77.73946360153256	21.891933758804537
102	77.50717703349282	22.144742495703355
103	77.07773512476008	22.451940491121338
104	76.86509841574652	22.769689447374546
105	75.91807228915663	23.22645690131632
106	75.58466763706939	23.704597658872782
107	74.93677042801556	23.928129675102358
108	74.45530043966781	24.386779472124523
109	74.32843137254902	24.7918395552886
110	74.28290766208251	25.037300268102594
111	74.07662082514734	25.397528777125128
112	74.1871921182266	25.22742776139197
113	74.06311637080867	25.507559256201503
114	73.89328063241106	25.740755841114215
115	73.8102261553589	26.160317821949537
116	73.75677006400788	26.469075032162774
117	73.7721021611002	26.799984701950592
118	73.71316306483301	26.993285692014386
119	73.96263520157325	26.810975238225385
120	73.67076167076166	27.10730806173958
121	73.39091806515302	27.090050913644042
122	73.22485207100591	27.265391064480518
123	73.08794466403162	27.365844375777538
124	72.94871794871794	27.5252237161861
125	72.51968503937007	27.91411463571067
126	72.17910447761194	28.31816497170465
127	72.1513353115727	28.312600677733343
128	72.10941350418926	28.292583617911035
129	72.07436399217221	28.30165950649079
130	71.75171736997056	28.629692201128066
131	71.41798418972331	28.912632734378313
132	71.34086444007859	29.076723288063484
133	71.1984282907662	29.271009340880635
134	71.1972522080471	29.09011907998168
135	70.89793915603533	29.426197395604596
136	70.61023622047244	29.786691021224968
137	70.23232822540781	30.027484669726142
138	70.16890213611525	30.30984547893809
139	70.18830525272547	30.474837023034677
140	69.85	30.411436993341457
141	69.91542288557214	30.684976906094366
142	69.85082048731974	30.912883605486137
143	69.83532934131736	30.870263530225955
144	70.04459861248762	30.77116293779387
145	69.90480961923848	30.88147051589347
146	69.72472472472472	31.16293006590333
147	69.54045954045954	31.077348359155867
148	69.62888665997994	30.70068991695483
149	69.46813848469644	30.848907237853773
150	69.2624184646262	31.014330765845042
151	69.19379068602905	31.10486232855557
152	69.45	31.1634962736852
153	69.46231155778895	30.99940372388802
154	69.84848484848484	31.16194358323788
