Cycle	Average Remaining	Standard Deviation

0	99.58	2.764380581613211
1	99.255	3.358217533156572
2	98.905	3.609871881383112
3	98.52573713143428	4.0422556925506035
4	98.2	4.297906467107014
5	97.10855427713857	5.427409548782616
6	96.38403990024938	5.775520180405531
7	95.7064128256513	6.119917380276523
8	95.18168242906918	6.452973267923468
9	94.56435643564356	6.620550065388613
10	93.43349753694581	7.515783742620709
11	92.56043413912185	7.927562524921489
12	91.75655616031668	8.26541198643141
13	91.10782865583457	8.4086543803432
14	90.44182621502209	8.637845843857198
15	89.33333333333333	9.420288215620571
16	88.49093581577658	9.831384896029133
17	87.45579567779961	10.209973410067576
18	86.49261083743842	10.717122097809437
19	85.8716049382716	11.016614352877676
20	84.90332176499751	11.851692375749156
21	84.17165668662675	12.35373750003615
22	83.34825870646766	12.718933447342119
23	82.59481037924152	13.06295732292277
24	82.07433450527373	13.440221277232851
25	80.99849473156046	14.102731932836598
26	80.0752256770311	14.69700283516991
27	79.49824385348721	15.415079037423217
28	79.06860290435654	15.752498701102983
29	78.49800399201597	16.390995740818525
30	77.44	16.965223252288794
31	76.62994491737606	17.25638515083794
32	76.11835506519559	17.909879840502796
33	75.8987090367428	18.54709194427486
34	75.45816733067728	19.130585716392027
35	74.78304239401496	20.143355978638752
36	74.44664031620553	20.63815550096089
37	74.14066369489846	21.085754718392742
38	73.83629191321499	21.529539246973414
39	73.43151693667157	21.795759838537464
40	72.82375851996105	22.59064629250469
41	72.28655544651619	22.81390659380196
42	71.84931506849315	23.090987656693667
43	71.53996101364523	23.51919911380751
44	71.24693176239568	24.026520787118503
45	70.63484251968504	24.59161422037462
46	70.03461918892187	24.874429411468405
47	69.87745098039215	25.453213650923317
48	69.50659501709819	25.779505662691353
49	69.39882697947215	26.106569056230494
50	68.85341074020319	26.85939130499138
51	68.38584585555017	27.329104819319415
52	68.05758906783797	27.512169663311106
53	67.98729848558867	27.67054807625409
54	67.70087124878994	28.254829698027955
55	66.97596153846153	28.81328215190675
56	66.57101865136299	28.948212752488672
57	65.93374939990399	29.457913393802947
58	65.7593123209169	29.545565228673123
59	65.75	30.19870093996658
60	65.2385496183206	30.699854128314467
61	64.74236641221374	30.951840830857016
62	64.47318007662835	31.364045578645797
63	64.22318422318422	31.94833908420618
64	64.34615384615384	32.34954363469105
65	63.91911410688493	32.6997354394821
66	63.42028985507246	33.184690634411126
67	63.28147788040836	33.421888888921785
68	63.14437984496124	33.5946520529413
69	63.06608357628766	33.758594585606076
70	62.92292777508483	34.09807953495679
71	62.74232830004871	34.49315556965075
72	62.55339805825243	34.65513955147845
73	62.7579556412729	34.93149099482573
74	62.7063339731286	35.03424877942096
75	62.708631378159275	35.45451742626837
76	62.65054528212423	35.614584301672586
77	62.52385496183206	35.61418359745227
78	62.68465909090909	35.41674610821991
79	62.72598201609087	35.498526675061
80	62.63507109004739	35.93056940099016
81	62.82618935468676	35.80292289875911
82	62.89719626168224	36.079420793146895
83	63.045923149015934	35.821083050474485
84	63.00187617260788	35.86228607626576
85	62.64373232799246	35.997222771466824
86	62.388625592417064	36.17719606409961
87	62.32954545454545	36.375715619233
88	62.19327333017527	36.30144089832847
89	62.37914691943128	36.53827054771239
90	62.21112696148359	36.51028368388112
91	62.19256434699714	36.541480822756846
92	62.18034351145038	36.50528199640432
93	62.4287072243346	36.63541600636345
94	62.24401913875598	36.67533153530776
95	62.15554488718195	36.76748746373205
96	62.04501915708812	36.71776073768586
97	62.37935977066412	36.72193061354279
98	62.511893434823975	36.778122794484126
99	62.70773638968481	36.80838452577163
100	62.5298900047824	36.81273204257073
101	62.79446828803052	36.79669267861023
102	63.042857142857144	36.61801069805677
103	63.24928639391056	36.593949413776656
104	63.4720908230842	36.37804379822926
105	63.436754176610975	36.58190417328056
106	63.277431720172494	36.89973492367785
107	63.510282161645144	36.67365403216771
108	63.5933014354067	36.55045845635403
109	63.77979027645377	36.669364516397515
110	63.69554810914313	36.46992525138377
111	63.87686387686388	36.49280340312568
112	64.02017291066282	36.38443421779057
113	64.23354156655454	36.333508765894436
114	64.50145208131656	36.2854928437855
115	64.56616577799322	36.08997273246917
116	65.08540751586139	36.082363444083015
117	65.2101661779081	36.36707984620815
118	65.28864970645793	36.39988038082419
119	65.42814960629921	36.30497707369419
120	65.60019598236158	36.13750340345425
121	65.66454144188327	35.84841075795964
122	65.7568359375	36.28005951892298
123	65.82067613914748	36.16321479056144
124	66.3155316021558	36.113967352826165
125	66.14818449460255	36.04196170521815
126	66.3671875	36.29890037531483
127	66.5903555772041	36.38261980537723
128	66.86676427525622	35.82534798766905
129	67.17274939172749	35.92984496835037
130	67.31494920174165	36.09326301215802
131	67.39446870451238	36.09108003875752
132	67.78260869565217	36.223572959817446
133	68.06640625	36.257436581458656
134	68.34956183057449	36.168896121737916
135	68.488824101069	36.20103474738849
136	69.11325301204819	36.01582400888601
137	69.14534041525833	36.130315736617966
138	69.52542372881356	36.100194355473754
139	69.7677793904209	36.155489186863036
140	70.01447876447877	35.946518443553636
141	70.16908212560386	35.897381819812786
142	70.25778210116732	35.893209270882636
143	70.25316455696202	35.84081798781192
144	70.35939776590578	35.90906042070232
145	70.35173424523693	35.91832176747419
146	70.63507572056669	35.9374993641365
147	71.11056989771066	35.81819534739817
148	71.24084025403029	35.68379720061568
149	71.7131669114048	34.87445877770891
150	71.72090729783038	34.7192493543498
151	72.26608187134502	35.212144356405524
152	72.3972602739726	35.02652936603225
153	72.6806640625	34.83098673027092
154	72.89769946157611	34.59920170612541
155	72.9960899315738	34.80086553301661
