Cycle	Now Replications	Total Replications

0	0	0
1	0	0
2	0	0
3	0	0
4	12	12
5	114	114
6	146	146
7	201	201
8	233	233
9	301	301
10	441	441
11	523	523
12	560	560
13	596	596
14	656	656
15	726	728
16	792	850
17	849	923
18	884	999
19	960	1097
20	1076	1296
21	1139	1410
22	1216	1523
23	1307	1629
24	1384	1744
25	1572	1964
26	1727	2121
27	1863	2257
28	1993	2387
29	2165	2559
30	2437	2831
31	2580	2974
32	2724	3118
33	2878	3272
34	3115	3509
35	3379	3773
36	3597	3991
37	3829	4223
38	4025	4419
39	4237	4631
40	4530	4924
41	4759	5153
42	4989	5383
43	5195	5589
44	5435	5829
45	5654	6048
46	5933	6327
47	6140	6534
48	6313	6708
49	6486	6939
50	6755	7252
51	6986	7508
52	7142	7690
53	7281	7886
54	7427	8090
55	7560	8335
56	7704	8575
57	7850	8799
58	7884	8975
59	7994	9200
60	8135	9438
61	8154	9624
62	8194	9777
63	8212	9944
64	8253	10155
65	8323	10410
66	8266	10568
67	8236	10737
68	8205	10929
69	8249	11166
70	8371	11426
71	8346	11588
72	8355	11794
73	8351	11977
74	8361	12160
75	8434	12421
76	8511	12668
77	8576	12882
78	8645	13059
79	8639	13215
80	8712	13454
81	8803	13704
82	8850	13878
83	8835	14086
84	8811	14291
85	8865	14532
86	8846	14751
87	8831	14948
88	8799	15151
89	8841	15365
90	8992	15667
91	9023	15905
92	9025	16101
93	9012	16259
94	9042	16468
95	9101	16686
96	9253	17015
97	9310	17237
98	9239	17403
99	9300	17650
100	9376	17944
101	9489	18229
102	9513	18452
103	9582	18686
104	9720	18985
105	9839	19291
106	9967	19550
107	10074	19800
108	10113	19978
109	10277	20244
110	10459	20548
111	10605	20801
112	10745	21081
113	10816	21293
114	10939	21575
115	11006	21895
116	11059	22098
117	11156	22355
118	11254	22561
119	11390	22841
120	11553	23088
121	11687	23372
122	11779	23642
123	11868	23900
124	11966	24180
125	12132	24494
126	12214	24726
127	12351	24998
128	12418	25222
129	12533	25502
130	12662	25816
131	12791	26117
132	12777	26371
133	12749	26528
134	12751	26776
135	12856	27038
136	12871	27274
137	12846	27548
138	12907	27785
139	12930	28046
140	12996	28371
141	13067	28671
142	13107	28938
143	13096	29184
144	13133	29437
145	13316	29798
146	13407	30068
147	13447	30289
