Cycle	Now Cost	Total Cost

0	262	262
1	660	922
2	0	922
3	0	922
4	0	922
5	0	922
6	0	922
7	0	922
8	0	922
9	0	922
10	1314	2236
11	226	2462
12	0	2462
13	0	2462
14	0	2462
15	0	2462
16	191	2653
17	96	2749
18	197	2946
19	104	3050
20	0	3050
21	0	3050
22	0	3050
23	92	3142
24	172	3314
25	8206	11520
26	1037	12557
27	330	12887
28	315	13202
29	103	13305
30	93	13398
31	219	13617
32	522	14139
33	121	14260
34	0	14260
35	196	14456
36	327	14783
37	537	15320
38	335	15655
39	0	15655
40	117	15772
41	208	15980
42	430	16410
43	407	16817
44	211	17028
45	653	17681
46	123	17804
47	529	18333
48	215	18548
49	365	18913
50	2184	21097
51	2111	23208
52	301	23509
53	218	23727
54	209	23936
55	337	24273
56	197	24470
57	381	24851
58	0	24851
59	494	25345
60	541	25886
61	535	26421
62	195	26616
63	210	26826
64	774	27600
65	296	27896
66	443	28339
67	327	28666
68	397	29063
69	683	29746
70	301	30047
71	238	30285
72	198	30483
73	743	31226
74	452	31678
75	330	32008
76	759	32767
77	133	32900
78	785	33685
79	607	34292
80	2045	36337
81	1851	38188
82	516	38704
83	1036	39740
84	372	40112
85	693	40805
86	645	41450
87	610	42060
88	190	42250
89	618	42868
90	8411	51279
91	1413	52692
92	965	53657
93	813	54470
94	1086	55556
95	333	55889
96	199	56088
97	392	56480
98	534	57014
99	278	57292
100	3213	60505
101	1332	61837
102	468	62305
103	804	63109
104	481	63590
105	4176	67766
106	1058	68824
107	890	69714
108	538	70252
109	522	70774
110	3982	74756
111	983	75739
112	784	76523
113	521	77044
114	106	77150
115	537	77687
116	530	78217
117	357	78574
118	723	79297
119	125	79422
120	620	80042
121	507	80549
122	431	80980
123	748	81728
124	502	82230
125	2501	84731
126	523	85254
127	1724	86978
128	977	87955
129	402	88357
130	1291	89648
131	1617	91265
132	494	91759
133	1004	92763
134	635	93398
135	302	93700
136	494	94194
137	499	94693
138	225	94918
139	790	95708
140	678	96386
141	466	96852
142	538	97390
143	433	97823
144	307	98130
145	318	98448
146	197	98645
147	223	98868
148	771	99639
149	331	99970
150	11725	111695
151	1444	113139
152	421	113560
153	675	114235
154	358	114593
155	388	114981
156	724	115705
157	328	116033
158	320	116353
159	404	116757
160	2323	119080
161	1154	120234
162	980	121214
163	380	121594
164	429	122023
165	7510	129533
166	1355	130888
167	671	131559
168	507	132066
169	306	132372
170	596	132968
171	386	133354
172	747	134101
173	546	134647
174	373	135020
175	9207	144227
176	1684	145911
177	856	146767
178	724	147491
179	753	148244
180	748	148992
181	475	149467
182	501	149968
183	494	150462
184	654	151116
185	1699	152815
186	1594	154409
187	362	154771
188	1077	155848
189	459	156307
190	757	157064
191	1669	158733
192	1321	160054
193	557	160611
194	722	161333
195	3583	164916
196	750	165666
197	474	166140
198	418	166558
199	251	166809
200	243	167052
201	96	167148
202	394	167542
203	410	167952
204	409	168361
205	330	168691
206	433	169124
207	420	169544
208	505	170049
209	242	170291
210	3439	173730
211	411	174141
212	1583	175724
213	834	176558
214	206	176764
215	653	177417
216	86	177503
217	358	177861
218	331	178192
219	646	178838
220	522	179360
221	214	179574
222	430	180004
223	862	180866
224	326	181192
225	399	181591
226	934	182525
227	204	182729
228	758	183487
229	418	183905
230	210	184115
231	560	184675
232	411	185086
233	123	185209
234	637	185846
235	349	186195
236	441	186636
237	887	187523
238	95	187618
239	758	188376
240	662	189038
241	284	189322
242	997	190319
243	926	191245
244	664	191909
245	672	192581
246	410	192991
247	788	193779
248	454	194233
249	606	194839
250	651	195490
251	447	195937
252	300	196237
253	205	196442
254	958	197400
255	1039	198439
256	1020	199459
257	1067	200526
258	412	200938
259	580	201518
260	296	201814
261	200	202014
262	875	202889
263	534	203423
264	1087	204510
265	451	204961
266	214	205175
267	723	205898
268	204	206102
269	523	206625
270	712	207337
271	453	207790
272	613	208403
273	304	208707
274	318	209025
275	536	209561
276	1070	210631
277	1007	211638
278	575	212213
279	374	212587
280	121	212708
281	794	213502
282	598	214100
283	425	214525
284	714	215239
285	431	215670
286	315	215985
287	398	216383
288	798	217181
289	421	217602
290	838	218440
291	670	219110
292	809	219919
293	307	220226
294	821	221047
295	610	221657
296	112	221769
297	620	222389
298	641	223030
299	621	223651
300	99	223750
301	670	224420
302	646	225066
303	644	225710
304	904	226614
305	344	226958
306	737	227695
307	537	228232
308	291	228523
309	989	229512
310	387	229899
311	628	230527
312	240	230767
313	549	231316
314	642	231958
315	308	232266
316	1208	233474
317	298	233772
318	726	234498
319	413	234911
320	644	235555
321	286	235841
322	537	236378
323	727	237105
324	418	237523
325	675	238198
326	457	238655
327	349	239004
328	328	239332
329	307	239639
330	433	240072
331	631	240703
332	636	241339
333	90	241429
334	444	241873
335	802	242675
336	412	243087
337	312	243399
338	547	243946
339	319	244265
340	105	244370
341	388	244758
342	97	244855
343	0	244855
344	0	244855
345	102	244957
346	218	245175
347	88	245263
348	99	245362
349	0	245362
350	215	245577
351	97	245674
352	416	246090
353	221	246311
354	0	246311
355	188	246499
356	420	246919
357	423	247342
358	304	247646
359	414	248060
360	200	248260
361	289	248549
