Cycle	Average Remaining	Standard Deviation
71	47.6878612716763	27.23678322145619
72	47.27272727272727	26.85026329700431
73	46.8944099378882	26.928385006564447
74	46.75	26.923502743885315
75	46.9811320754717	26.68327476175651
76	42.22222222222222	28.86625558835236
77	41.854304635761586	28.646422407965357
78	41.54362416107382	28.349568455625523
79	41.458333333333336	28.037415064847163
80	41.53846153846154	27.953315419218242
81	38.732394366197184	29.39632662500265
82	38.92857142857143	29.498789321403887
83	38.92086330935252	29.407481337140656
84	38.89705882352941	29.491344545716885
85	41.52777777777778	30.73903247150029
86	47.54716981132076	29.444241069293568
87	47.77251184834123	29.48213965992372
88	47.5	29.673468046090484
89	47.57575757575758	29.660356733440405
90	47.31958762886598	29.94166574956098
91	43.17460317460318	31.820283535450727
92	42.45989304812834	31.840058986864253
93	41.75824175824176	32.19452032931059
94	41.77777777777778	32.232373879780035
95	42.41573033707865	32.18708919770994
96	52.945205479452056	28.975193381375103
97	53.42657342657343	29.001425715475516
98	53.156028368794324	29.226764487130623
99	53.38181818181818	29.054932299165504
100	53.38345864661654	28.808082043851567
101	50.57471264367816	29.68641616476801
102	50.666666666666664	29.724222643573164
103	50.39525691699605	29.964228492356522
104	50.398406374501995	29.919788219232075
105	51.181102362204726	30.11638613767309
106	56.149253731343286	27.899670678517097
107	55.823170731707314	28.310828521967295
108	55.660377358490564	28.38248481731097
109	55.337620578778136	28.572709842225304
110	55.45751633986928	28.599476737019824
111	51.82432432432432	29.026778523270682
112	51.3448275862069	29.088429692471237
113	51.53310104529617	28.957827393291353
114	51.45390070921986	29.236830607482506
115	51.231884057971016	29.38305275358456
116	47.3992673992674	30.695140170778103
117	46.851851851851855	30.650134208895707
118	46.78030303030303	30.750740955782845
119	46.34920634920635	31.1385326188604
120	47.091633466135455	30.661764581334136
121	52.84848484848485	29.516924842502505
122	52.741433021806856	29.79668947030715
123	52.77070063694268	29.909138641947155
124	52.861736334405144	29.839314918379614
125	53.333333333333336	29.22430202861704
126	57.037974683544306	28.247889802970843
127	56.857142857142854	28.362744384433192
128	57.07774798927614	28.416864755483935
129	57.277628032345014	28.23294130744097
130	57.42465753424658	28.177546095419082
131	59.51573849878935	27.30391142669285
132	59.578163771712155	26.951409318395026
133	59.52020202020202	27.145337068430745
