Cycle	Now Cost	Total Cost

0	262	262
1	660	922
2	0	922
3	0	922
4	0	922
5	0	922
6	0	922
7	0	922
8	0	922
9	0	922
10	1314	2236
11	226	2462
12	0	2462
13	0	2462
14	0	2462
15	0	2462
16	198	2660
17	99	2759
18	101	2860
19	55	2915
20	0	2915
21	0	2915
22	0	2915
23	99	3014
24	99	3113
25	8098	11211
26	935	12146
27	211	12357
28	184	12541
29	99	12640
30	0	12640
31	124	12764
32	199	12963
33	297	13260
34	0	13260
35	198	13458
36	297	13755
37	495	14250
38	198	14448
39	0	14448
40	198	14646
41	25	14671
42	99	14770
43	396	15166
44	594	15760
45	305	16065
46	198	16263
47	297	16560
48	0	16560
49	315	16875
50	2073	18948
51	2194	21142
52	206	21348
53	99	21447
54	297	21744
55	495	22239
56	198	22437
57	693	23130
58	0	23130
59	396	23526
60	396	23922
61	297	24219
62	99	24318
63	198	24516
64	693	25209
65	99	25308
66	220	25528
67	0	25528
68	198	25726
69	792	26518
70	396	26914
71	297	27211
72	297	27508
73	594	28102
74	396	28498
75	198	28696
76	596	29292
77	99	29391
78	297	29688
79	495	30183
80	2042	32225
81	1968	34193
82	198	34391
83	594	34985
84	99	35084
85	495	35579
86	693	36272
87	495	36767
88	0	36767
89	891	37658
90	8641	46299
91	1045	47344
92	743	48087
93	252	48339
94	1005	49344
95	495	49839
96	0	49839
97	297	50136
98	198	50334
99	2	50336
100	3318	53654
101	784	54438
102	357	54795
103	599	55394
104	286	55680
105	3996	59676
106	758	60434
107	1496	61930
108	1507	63437
109	693	64130
110	4667	68797
111	775	69572
112	1047	70619
113	208	70827
114	297	71124
115	594	71718
116	396	72114
117	693	72807
118	594	73401
119	99	73500
120	297	73797
121	891	74688
122	396	75084
123	594	75678
124	316	75994
125	2253	78247
126	198	78445
127	1598	80043
128	1287	81330
129	991	82321
130	1418	83739
131	1239	84978
132	783	85761
133	1327	87088
134	990	88078
135	495	88573
136	1485	90058
137	1287	91345
138	198	91543
139	396	91939
140	297	92236
141	1782	94018
142	693	94711
143	698	95409
144	1287	96696
145	594	97290
146	297	97587
147	597	98184
148	594	98778
149	891	99669
150	12463	112132
151	1762	113894
152	917	114811
153	1439	116250
154	1206	117456
155	2079	119535
156	794	120329
157	1103	121432
158	396	121828
159	396	122224
160	2265	124489
161	855	125344
162	1049	126393
163	1287	127680
164	1089	128769
165	8576	137345
166	1391	138736
167	773	139509
168	758	140267
169	499	140766
170	396	141162
171	1140	142302
172	638	142940
173	1532	144472
174	990	145462
175	10065	155527
176	1579	157106
177	570	157676
178	1734	159410
179	1156	160566
180	297	160863
181	699	161562
182	396	161958
183	693	162651
184	1110	163761
185	1341	165102
186	1147	166249
187	146	166395
188	1864	168259
189	1386	169645
190	1188	170833
191	2312	173145
192	2538	175683
193	693	176376
194	609	176985
195	5353	182338
196	948	183286
197	367	183653
198	990	184643
199	495	185138
200	401	185539
201	990	186529
202	1994	188523
203	792	189315
204	990	190305
205	402	190707
206	1794	192501
207	297	192798
208	792	193590
209	990	194580
210	4417	198997
211	994	199991
212	2329	202320
213	813	203133
214	396	203529
215	1089	204618
216	594	205212
217	588	205800
218	1089	206889
219	1287	208176
220	2384	210560
221	707	211267
222	990	212257
223	2178	214435
224	99	214534
225	2277	216811
226	1584	218395
227	396	218791
228	1193	219984
229	198	220182
230	198	220380
231	297	220677
232	1980	222657
233	297	222954
234	693	223647
235	2376	226023
236	363	226386
237	1518	227904
238	1485	229389
239	1584	230973
240	1683	232656
241	198	232854
242	1584	234438
243	1683	236121
244	1485	237606
245	1881	239487
246	1302	240789
247	1104	241893
248	1287	243180
249	1485	244665
250	1287	245952
251	594	246546
252	1386	247932
253	1683	249615
254	4756	254371
255	2178	256549
256	1485	258034
257	396	258430
258	2179	260609
259	2277	262886
260	594	263480
261	1287	264767
262	2871	267638
263	396	268034
264	2277	270311
265	990	271301
266	396	271697
267	1600	273297
268	1683	274980
269	1089	276069
270	495	276564
271	1290	277854
272	891	278745
273	2682	281427
274	1197	282624
275	2871	285495
276	990	286485
277	1782	288267
278	2847	291114
279	1517	292631
280	297	292928
281	891	293819
282	1485	295304
283	594	295898
284	2772	298670
285	2475	301145
286	1089	302234
287	792	303026
288	1485	304511
289	2178	306689
290	1584	308273
291	4558	312831
292	2178	315009
293	1386	316395
294	3072	319467
295	2675	322142
296	693	322835
297	792	323627
298	4158	327785
299	1188	328973
300	396	329369
301	501	329870
302	1881	331751
303	2178	333929
304	2376	336305
305	0	336305
306	1287	337592
307	3086	340678
308	1386	342064
309	1287	343351
310	693	344044
311	594	344638
312	1188	345826
313	3864	349690
314	1188	350878
315	1684	352562
316	2590	355152
317	1683	356835
318	1882	358717
319	1190	359907
320	1485	361392
321	4645	366037
322	3226	369263
323	693	369956
324	198	370154
325	1756	371910
326	1683	373593
327	4059	377652
328	891	378543
329	3470	382013
330	1188	383201
331	2673	385874
332	2089	387963
333	1782	389745
334	198	389943
335	2277	392220
336	792	393012
337	990	394002
338	1287	395289
339	695	395984
340	1980	397964
341	1882	399846
342	1188	401034
343	2185	403219
344	1386	404605
345	1584	406189
346	2195	408384
