High Availability:
Average	Difference
0.6350588146855227
0.2508279099076339	-0.38423090477788885
0.07310920016576876	-0.1777187097418651
0.0077724823870700295	-0.06533671777869873
5.014504765851626E-4	-0.007271031910484867
0.0	-5.014504765851626E-4

Low Availability:
Average	Difference
NaN
0.3767447276495684	NaN
0.21816916148003254	-0.15857556616953586
0.051572481572481586	-0.16659667990755095
0.005012285012285014	-0.046560196560196575
0.0	-0.005012285012285014

High Remaining:
Average	Difference
82.41261618035357
79.86932437429802	-2.5432918060555494
79.14393504730076	-0.7253893269972593
77.79452580553226	-1.3494092417684982
57.014285714285705	-20.780240091246554
0.0	-57.014285714285705

Low Remaining:
Average	Difference
58.15326815057111
69.36702067553978	11.213752524968669
80.32344320054663	10.956422525006857
83.37186274617027	3.0484195456236307
89.1	5.728137253829729
0.0	-89.1

High Occupancy:
Average	Difference
718306.4
2733334.2	2015027.8000000003
4099085.1	1365750.9
4385914.3	286829.1999999997
4412294.1	26379.799999999814
4413470.0	1175.9000000003725

Low Occupancy:
Average	Difference
8970.4
60240.7	51270.299999999996
130579.1	70338.40000000001
182569.0	51989.899999999994
191204.1	8635.100000000006
191980.0	775.8999999999942
