cycle	occupancy
0	0.0
1	0.0
2	0.0
3	0.0
4	7.0
5	654.0
6	1308.0
7	1970.0
8	2641.0
9	3330.0
10	4099.0
11	4898.0
12	5726.0
13	6573.0
14	7464.0
15	8772.0
16	10128.0
17	11526.0
18	12976.0
19	14491.0
20	16151.0
21	17869.0
22	19665.0
23	21525.0
24	23492.0
25	25630.0
26	27878.0
27	30236.0
28	32703.0
29	35303.0
30	38854.0
31	42541.0
32	46394.0
33	50372.0
34	54484.0
35	59320.0
36	64275.0
37	69355.0
38	74567.0
39	79903.0
40	85450.0
41	91138.0
42	96915.0
43	102836.0
44	108910.0
45	115194.0
46	121656.0
47	128269.0
48	135054.0
49	142012.0
50	149234.0
51	156619.0
52	164170.0
53	171907.0
54	179787.0
55	187895.0
56	196185.0
57	204682.0
58	213367.0
59	222247.0
60	231353.0
61	240668.0
62	250187.0
63	259900.0
64	269839.0
65	280138.0
66	289878.0
67	299867.0
68	310025.0
69	320325.0
70	330890.0
71	341638.0
72	352544.0
73	363621.0
74	374547.0
75	385780.0
76	397134.0
77	408006.0
78	418979.0
79	430035.0
80	441217.0
81	452435.0
82	463731.0
83	475030.0
84	486378.0
85	497749.0
86	509136.0
87	520509.0
88	531839.0
89	543210.0
90	554752.0
91	566288.0
92	577817.0
93	589280.0
94	600717.0
95	612191.0
96	623045.0
97	633853.0
98	644521.0
99	655171.0
100	665663.0
101	676090.0
102	686423.0
103	696705.0
104	706941.0
105	717958.0
106	728944.0
107	739894.0
108	750782.0
109	761577.0
110	772399.0
111	783157.0
112	793822.0
113	804426.0
114	814985.0
115	825621.0
116	836223.0
117	846772.0
118	857250.0
119	867721.0
120	878274.0
121	888850.0
122	899438.0
123	910069.0
124	920764.0
125	931709.0
126	942697.0
127	953760.0
128	964901.0
129	976177.0
130	987925.0
131	999787.0
132	1011736.0
133	1023808.0
134	1035996.0
135	1048468.0
136	1060988.0
137	1073589.0
138	1086275.0
139	1098969.0
140	1111789.0
141	1124655.0
142	1137489.0
143	1150460.0
144	1163621.0
145	1177171.0
146	1190876.0
147	1204701.0
148	1218650.0
149	1232715.0
150	1246980.0
151	1261370.0
152	1275843.0
153	1290391.0
154	1304978.0
155	1319691.0
156	1334483.0
157	1349372.0
158	1364306.0
159	1379094.0
160	1393686.0
161	1407553.0
162	1421486.0
163	1435482.0
164	1449570.0
165	1463770.0
166	1478009.0
167	1491987.0
168	1505931.0
169	1519839.0
170	1534078.0
171	1548144.0
172	1562227.0
173	1576266.0
174	1590243.0
175	1604242.0
176	1618143.0
177	1631914.0
178	1645584.0
179	1659179.0
180	1673078.0
181	1686921.0
182	1700506.0
183	1713997.0
184	1727380.0
185	1741175.0
186	1754865.0
187	1768405.0
188	1781837.0
189	1795153.0
190	1808377.0
191	1821472.0
192	1834266.0
193	1846944.0
194	1859505.0
195	1872057.0
196	1884528.0
197	1896891.0
198	1909054.0
199	1921173.0
200	1933458.0
201	1945684.0
202	1957871.0
203	1970012.0
204	1982067.0
205	1994185.0
206	2006273.0
207	2018294.0
208	2030260.0
209	2042127.0
210	2054183.0
211	2066249.0
212	2078290.0
213	2090293.0
214	2102204.0
215	2114072.0
216	2125902.0
217	2137636.0
218	2149269.0
219	2160807.0
220	2172234.0
221	2183506.0
222	2194584.0
223	2205524.0
224	2216359.0
225	2227341.0
226	2238179.0
227	2248876.0
228	2259431.0
229	2269869.0
230	2280984.0
231	2291955.0
232	2302820.0
233	2313581.0
234	2324260.0
235	2335027.0
236	2345443.0
237	2355829.0
238	2366202.0
239	2376607.0
240	2387189.0
241	2397821.0
242	2408098.0
243	2418389.0
244	2428207.0
245	2438191.0
246	2448173.0
247	2458193.0
248	2468210.0
249	2478246.0
250	2488591.0
251	2498980.0
252	2509432.0
253	2519932.0
254	2530476.0
255	2541081.0
256	2551710.0
257	2562375.0
258	2573105.0
259	2583884.0
260	2594738.0
261	2605692.0
262	2616761.0
263	2627919.0
264	2639214.0
265	2650610.0
266	2662170.0
267	2673837.0
268	2685551.0
269	2697277.0
270	2709022.0
271	2720779.0
272	2732544.0
273	2743905.0
274	2755134.0
275	2766341.0
276	2777505.0
277	2788630.0
278	2799707.0
279	2810771.0
280	2821781.0
281	2832713.0
282	2843556.0
283	2854302.0
284	2864954.0
285	2875253.0
286	2885446.0
287	2895512.0
288	2905196.0
289	2913898.0
290	2922461.0
291	2930889.0
292	2939157.0
293	2947251.0
294	2955198.0
295	2962744.0
296	2970133.0
297	2977329.0
298	2984341.0
299	2991179.0
300	2997835.0
301	3004327.0
302	3010632.0
303	3016601.0
304	3022395.0
305	3028019.0
306	3033495.0
307	3038786.0
308	3043911.0
309	3048873.0
310	3053688.0
311	3058332.0
312	3062814.0
313	3067124.0
314	3071282.0
315	3075305.0
316	3079175.0
317	3082908.0
318	3086508.0
319	3089970.0
320	3093277.0
321	3096430.0
322	3099444.0
323	3102323.0
324	3105036.0
325	3107605.0
326	3110033.0
327	3112330.0
328	3114493.0
329	3116510.0
330	3118388.0
331	3120154.0
332	3121791.0
333	3123313.0
334	3124715.0
335	3126000.0
336	3127194.0
337	3128290.0
338	3129314.0
339	3130261.0
340	3131122.0
341	3131916.0
342	3132640.0
343	3133292.0
344	3133865.0
345	3134372.0
346	3134820.0
347	3135207.0
348	3135539.0
349	3135834.0
350	3136087.0
351	3136279.0
352	3136433.0
353	3136550.0
354	3136630.0
355	3136692.0
356	3136738.0
357	3136772.0
358	3136794.0
359	3136811.0
360	3136815.0
361	3136816.0
362	3136816.0
363	3136816.0
364	3136816.0
365	3136816.0
366	3136816.0
367	3136816.0
368	3136816.0
369	3136816.0
370	3136816.0
371	3136816.0
372	3136816.0
373	3136816.0
374	3136816.0
375	3136816.0
376	3136816.0
377	3136816.0
378	3136816.0
379	3136816.0
380	3136816.0
381	3136816.0
382	3136816.0
383	3136816.0
384	3136816.0
385	3136816.0
386	3136816.0
387	3136816.0
388	3136816.0
389	3136816.0
390	3136816.0
391	3136816.0
392	3136816.0
393	3136816.0
394	3136816.0
395	3136816.0
396	3136816.0
397	3136816.0
398	3136816.0
399	3136816.0
400	3136816.0
401	3136816.0
402	3136816.0
403	3136816.0
404	3136816.0
405	3136816.0
406	3136816.0
407	3136816.0
408	3136816.0
409	3136816.0
410	3136816.0
411	3136816.0
412	3136816.0
413	3136816.0
414	3136816.0
415	3136816.0
416	3136816.0
417	3136816.0
418	3136816.0
419	3136816.0
420	3136816.0
421	3136816.0
422	3136816.0
423	3136816.0
424	3136816.0
425	3136816.0
426	3136816.0
427	3136816.0
428	3136816.0
429	3136816.0
430	3136816.0
431	3136816.0
432	3136816.0
433	3136816.0
434	3136816.0
435	3136816.0
436	3136816.0
437	3136816.0
438	3136816.0
439	3136816.0
440	3136816.0
441	3136816.0
442	3136816.0
443	3136816.0
444	3136816.0
445	3136816.0
