Cycle	Now Replications	Total Replications
151	12455	24481
152	12580	24743
153	12710	25011
154	12843	25279
155	12978	25569
156	13085	25820
157	13138	26054
158	13213	26295
159	13282	26520
160	13358	26751
161	13467	27015
162	13540	27276
163	13532	27466
164	13514	27630
165	13506	27812
166	13506	27994
167	13549	28229
168	13542	28435
169	13536	28612
170	13531	28802
171	13505	28986
172	13499	29168
173	13490	29366
174	13502	29556
175	13583	29798
176	13583	30000
177	13617	30253
178	13596	30462
179	13616	30718
180	13610	30960
181	13626	31200
182	13636	31431
183	13604	31647
184	13563	31866
185	13553	32108
186	13525	32348
187	13427	32516
188	13331	32700
189	13280	32926
190	13209	33156
191	13112	33351
192	12966	33517
193	12757	33659
194	12629	33858
195	12490	34029
196	12323	34189
197	12147	34339
198	11990	34490
199	11828	34659
200	11693	34847
201	11519	35045
202	11378	35225
203	11204	35387
204	11083	35624
205	10976	35820
206	10837	35994
207	10670	36142
208	10503	36298
209	10393	36476
210	10334	36691
211	10260	36917
212	10150	37112
213	10073	37323
214	9989	37537
215	9897	37752
216	9837	37991
217	9768	38219
218	9680	38437
219	9594	38646
220	9571	38891
221	9571	39125
222	9501	39302
223	9454	39498
224	9398	39678
225	9335	39870
226	9290	40066
227	9260	40263
228	9173	40443
229	9141	40651
230	9119	40858
231	9089	41049
232	9098	41265
233	9117	41471
234	9134	41665
235	9202	41894
236	9268	42120
237	9315	42345
238	9355	42561
239	9408	42806
240	9477	43046
241	9563	43312
242	9627	43552
243	9675	43776
244	9771	44048
245	9855	44293
246	9900	44533
247	9928	44726
248	9998	44946
249	10064	45172
250	10100	45367
251	10142	45572
252	10204	45754
253	10232	45945
254	10276	46139
255	10282	46335
256	10275	46510
257	10269	46688
258	10223	46847
259	10214	47038
260	10184	47206
261	10127	47364
262	10004	47482
263	9885	47587
264	9709	47674
265	9574	47777
266	9445	47880
267	9303	47970
268	9155	48074
269	9029	48175
270	8861	48270
271	8763	48385
272	8640	48482
273	8521	48607
274	8393	48704
275	8254	48798
276	8136	48901
277	7992	48993
278	7772	49058
279	7613	49136
280	7466	49207
281	7303	49264
282	7144	49327
283	7032	49426
284	6900	49498
285	6786	49570
286	6660	49615
287	6501	49645
288	6352	49680
289	6168	49680
290	5987	49681
291	5776	49681
292	5613	49682
293	5440	49682
294	5245	49682
295	5058	49682
296	4893	49682
297	4734	49682
298	4565	49682
299	4397	49682
300	4229	49688
301	4055	49688
302	3874	49689
303	3686	49689
304	3527	49690
305	3344	49692
306	3172	49694
307	3020	49694
308	2869	49694
309	2737	49699
310	2582	49701
311	2424	49705
312	2284	49707
313	2164	49713
314	2016	49716
315	1870	49717
316	1743	49717
317	1594	49718
318	1468	49720
319	1367	49721
320	1262	49722
321	1170	49723
322	1069	49724
323	963	49725
324	848	49725
325	745	49726
326	637	49727
327	534	49728
328	447	49729
329	353	49730
330	263	49736
331	194	49736
332	136	49736
333	108	49742
334	94	49744
335	90	49749
336	88	49750
337	86	49752
338	83	49753
339	83	49753
340	81	49754
341	80	49754
342	79	49755
343	79	49757
344	77	49757
345	76	49757
346	76	49757
347	76	49757
348	76	49757
349	76	49757
350	75	49757
351	75	49758
352	75	49758
353	75	49758
354	75	49759
355	75	49759
356	74	49760
357	74	49761
358	72	49761
359	71	49761
360	70	49762
361	70	49762
362	68	49763
363	68	49764
364	67	49764
365	67	49765
366	66	49767
367	65	49767
368	62	49769
369	59	49769
370	59	49771
371	57	49772
372	57	49772
373	55	49772
374	54	49772
375	53	49772
376	50	49772
377	50	49772
378	47	49772
379	47	49772
380	47	49772
381	46	49774
382	44	49774
383	44	49775
384	43	49777
385	42	49777
386	42	49777
387	41	49780
388	41	49782
389	40	49782
390	38	49783
391	38	49787
392	38	49787
393	37	49787
394	34	49787
395	34	49787
396	32	49787
397	32	49787
398	32	49787
399	32	49787
400	32	49787
401	31	49787
402	30	49787
403	30	49787
404	29	49787
405	29	49787
406	29	49787
407	29	49787
408	27	49787
409	27	49787
410	27	49787
411	27	49787
412	27	49787
413	27	49787
414	27	49787
415	26	49787
416	24	49787
417	23	49787
418	21	49787
419	21	49787
420	21	49787
421	20	49787
422	20	49787
423	20	49787
424	20	49787
425	19	49787
426	19	49787
427	19	49787
428	17	49787
429	15	49787
430	15	49787
431	15	49787
432	15	49787
433	15	49787
434	15	49787
435	15	49787
436	14	49787
437	14	49787
438	14	49787
439	13	49787
440	11	49787
441	10	49787
442	9	49787
443	6	49787
444	6	49787
445	6	49787
446	3	49787
447	3	49787
448	3	49787
449	2	49787
450	0	49787
451	0	49787
452	0	49787
453	0	49787
454	0	49787
455	0	49787
456	0	49787
457	0	49787
458	0	49787
459	0	49787
460	0	49787
461	0	49787
462	0	49787
463	0	49787
464	0	49787
465	0	49787
466	0	49787
467	0	49787
468	0	49787
469	0	49787
470	0	49787
471	0	49787
472	0	49787
473	0	49787
474	0	49787
475	0	49787
476	0	49787
477	0	49787
478	0	49787
479	0	49787
480	0	49787
481	0	49787
482	0	49787
483	0	49787
484	0	49787
485	0	49787
486	0	49787
487	0	49787
488	0	49787
489	0	49787
490	0	49787
491	0	49787
492	0	49787
493	0	49787
494	0	49787
495	0	49787
496	0	49787
497	0	49787
498	0	49787
499	0	49787
