Cycle	Now Cost	Average Cost
212	0	358.61971830985914
213	0	356.94392523364485
214	0	355.28372093023256
215	0	353.6388888888889
216	0	352.00921658986175
217	0	350.39449541284404
218	0	348.7945205479452
219	0	347.2090909090909
220	0	345.63800904977376
221	0	344.0810810810811
222	0	342.53811659192826
223	0	341.00892857142856
224	0	339.49333333333334
225	0	337.9911504424779
226	0	336.5022026431718
227	0	335.0263157894737
228	0	333.5633187772926
229	0	332.11304347826086
230	0	330.6753246753247
231	0	329.25
232	0	327.83690987124464
233	0	326.43589743589746
234	0	325.0468085106383
235	0	323.6694915254237
236	0	322.30379746835445
237	0	320.9495798319328
238	0	319.60669456066944
239	0	318.275
240	0	316.95435684647305
241	0	315.64462809917353
242	0	314.34567901234567
243	0	313.05737704918033
244	0	311.7795918367347
245	0	310.5121951219512
246	0	309.2550607287449
247	0	308.008064516129
248	0	306.7710843373494
249	0	305.544
250	0	304.32669322709165
251	0	303.1190476190476
252	0	301.9209486166008
253	0	300.73228346456693
254	0	299.5529411764706
255	0	298.3828125
256	0	297.22178988326846
257	0	296.06976744186045
258	0	294.9266409266409
259	0	293.7923076923077
260	0	292.6666666666667
261	0	291.5496183206107
262	0	290.44106463878325
263	0	289.34090909090907
264	0	288.24905660377357
265	0	287.16541353383457
266	0	286.08988764044943
267	0	285.0223880597015
268	0	283.9628252788104
269	0	282.9111111111111
270	0	281.8671586715867
271	0	280.83088235294116
272	0	279.8021978021978
273	0	278.7810218978102
274	0	277.7672727272727
275	0	276.7608695652174
276	0	275.7617328519856
277	0	274.76978417266184
278	0	273.78494623655916
279	0	272.8071428571429
280	0	271.83629893238435
281	0	270.8723404255319
282	0	269.91519434628975
283	0	268.96478873239437
284	0	268.0210526315789
285	0	267.0839160839161
286	0	266.1533101045296
287	0	265.2291666666667
288	0	264.3114186851211
289	0	263.4
290	0	262.49484536082474
291	0	261.59589041095893
292	0	260.70307167235495
293	0	259.81632653061223
294	0	258.935593220339
295	0	258.06081081081084
296	0	257.19191919191917
297	0	256.3288590604027
298	0	255.4715719063545
299	0	254.62
300	0	253.77408637873754
301	0	252.9337748344371
302	0	252.0990099009901
303	0	251.26973684210526
304	0	250.44590163934427
305	0	249.62745098039215
306	0	248.814332247557
307	0	248.0064935064935
308	0	247.20388349514562
309	0	246.40645161290323
310	0	245.61414790996784
311	0	244.82692307692307
312	0	244.0447284345048
313	0	243.2675159235669
314	0	242.4952380952381
315	0	241.72784810126583
316	0	240.9652996845426
317	0	240.20754716981133
318	0	239.45454545454547
319	0	238.70625
320	0	237.9626168224299
321	0	237.22360248447205
322	0	236.4891640866873
323	0	235.75925925925927
324	0	235.03384615384616
325	0	234.31288343558282
326	0	233.59633027522935
327	0	232.8841463414634
328	0	232.17629179331308
329	0	231.47272727272727
330	0	230.77341389728096
331	0	230.07831325301206
332	0	229.38738738738738
333	0	228.7005988023952
334	0	228.01791044776118
335	0	227.33928571428572
336	0	226.6646884272997
337	0	225.9940828402367
338	0	225.32743362831857
339	0	224.66470588235293
