Cycle	Data Availavility
0	NaN
1	NaN
2	NaN
3	NaN
4	1.0
5	1.0
6	1.0
7	1.0
8	1.0
9	1.0
10	1.0
11	1.0
12	1.0
13	1.0
14	1.0
15	0.9897959183673469
16	0.9547511312217195
17	0.9433198380566802
18	0.9163636363636364
19	0.906832298136646
20	0.8736842105263158
21	0.847926267281106
22	0.8380566801619433
23	0.838475499092559
24	0.8303715670436187
25	0.8330935251798561
26	0.8475452196382429
27	0.8591885441527446
28	0.8724324324324324
29	0.8882575757575758
30	0.9006734006734006
31	0.9093005380476556
32	0.916489738145789
33	0.9232769830949284
34	0.9308728763913299
35	0.9364224137931034
36	0.9416707859614434
37	0.9462169553327257
38	0.9497872340425532
39	0.9532302814110186
40	0.9563448020717721
41	0.9594222833562586
42	0.9620944426598137
43	0.9642098877767667
44	0.9664677465188974
45	0.9681167252094028
46	0.9696111254184908
47	0.9710571498650968
48	0.9718409843823947
49	0.971473851030111
50	0.970901194353963
51	0.9705820988942208
52	0.9701432317934234
53	0.967741935483871
54	0.9661753590325018
55	0.962529702065436
56	0.9584217975937721
57	0.9546075085324232
58	0.948067031690725
59	0.9421686746987952
60	0.9370486656200941
61	0.9272531528760382
62	0.9188861985472155
63	0.9094154395359214
64	0.8988959907030796
65	0.8890469416785206
66	0.8793127531778181
67	0.8710782298945061
68	0.8614207063246945
69	0.8534764960062852
70	0.8452274183215888
71	0.8339627391742196
72	0.8225049407114624
73	0.8122730573710966
74	0.8023242025376497
75	0.7927833855435665
76	0.7838052996701922
77	0.7758273703041145
78	0.7685704853086828
79	0.7596185108919475
80	0.7514370875026612
81	0.7453689167974882
82	0.7374716436378634
83	0.7288514268305067
84	0.7203796203796203
85	0.7107828655834564
86	0.7011449640985834
87	0.6913297007934232
88	0.6805947675512893
89	0.6735147140477512
90	0.6675764192139738
91	0.6589300116497894
92	0.6504158556007786
93	0.6448459457100463
94	0.6389581363362847
95	0.6331696579749407
96	0.6275340644732469
97	0.6209690620396137
98	0.6142857142857143
99	0.609244698594234
100	0.603448275862069
101	0.5976385800812697
102	0.5919245283018868
103	0.5855889351576442
104	0.5811797342677764
105	0.5757684573398448
106	0.5721252385327585
107	0.568955929375782
108	0.5647817732637935
109	0.5633031245773028
110	0.5617835243934951
111	0.5614495798319328
112	0.5599120082815735
113	0.5588197726401839
114	0.5585591249135601
115	0.5591204707339734
116	0.5583858918621027
117	0.5581479690522244
118	0.5580450498894665
119	0.5574543311726576
120	0.5583797585886723
121	0.5583924891229677
122	0.5573446327683615
123	0.5564169780802053
124	0.555702333773668
125	0.5555977435452376
126	0.5535312399528454
127	0.5526733721545791
128	0.5509926143208842
129	0.5484538214913641
130	0.546810358036672
131	0.5437285396889517
132	0.5403165410155275
133	0.5359085963003264
134	0.5327491678088898
135	0.530708127482321
136	0.5279535864978903
137	0.5242566510172144
138	0.5223453196882922
139	0.5198049686556768
140	0.5182719676797356
141	0.5169595422966898
142	0.5154291874410457
143	0.5141017099711304
144	0.513171203658912
145	0.5130090497737556
146	0.5124273099289253
147	0.511393701459418
148	0.5103713404587893
149	0.509832574840299
150	0.5094970682963086
151	0.5088622069754145
152	0.5085670411379617
153	0.5082747041893189
154	0.5082265464325265
155	0.5077422382106828
156	0.5068922790985828
157	0.5043745203376823
158	0.5026044637086042
159	0.5009424715373596
160	0.49943941998654606
161	0.49857528771786996
162	0.49648145433220936
163	0.49277525022747953
164	0.4891646467204515
165	0.485677317327391
166	0.48253945583089336
167	0.48002832861189804
168	0.47641144624903325
169	0.4732061762034514
