cycle	occupancy
402	2.874963E7
403	2.874964E7
404	2.874965E7
405	2.874966E7
406	2.874967E7
407	2.874968E7
408	2.874969E7
409	2.87497E7
410	2.874971E7
411	2.874972E7
412	2.874973E7
413	2.874974E7
414	2.874975E7
415	2.874976E7
416	2.874977E7
417	2.874978E7
418	2.874979E7
419	2.87498E7
420	2.874981E7
421	2.874982E7
422	2.874983E7
423	2.874984E7
424	2.874985E7
425	2.874986E7
426	2.874987E7
427	2.874988E7
428	2.874989E7
429	2.87499E7
430	2.874991E7
431	2.874992E7
432	2.874993E7
433	2.874994E7
434	2.874995E7
435	2.874996E7
436	2.874997E7
437	2.874998E7
438	2.874999E7
439	2.875E7
440	2.875001E7
441	2.875002E7
442	2.875003E7
443	2.875004E7
444	2.875005E7
445	2.875006E7
446	2.875007E7
447	2.875008E7
448	2.875009E7
449	2.87501E7
450	2.875011E7
451	2.875012E7
452	2.875013E7
453	2.875014E7
454	2.875015E7
455	2.875016E7
456	2.875017E7
457	2.875018E7
458	2.875019E7
459	2.87502E7
460	2.875021E7
461	2.875022E7
462	2.875023E7
463	2.875024E7
464	2.875025E7
465	2.875026E7
466	2.875027E7
467	2.875028E7
468	2.875029E7
469	2.87503E7
470	2.875031E7
471	2.875032E7
472	2.875033E7
473	2.875034E7
474	2.875035E7
475	2.875036E7
476	2.875037E7
477	2.875038E7
478	2.875039E7
479	2.87504E7
480	2.875041E7
481	2.875042E7
482	2.875043E7
483	2.875044E7
484	2.875045E7
485	2.875046E7
486	2.875047E7
487	2.875048E7
488	2.875049E7
489	2.87505E7
490	2.875051E7
491	2.875052E7
492	2.875053E7
493	2.875054E7
494	2.875055E7
495	2.875056E7
496	2.875057E7
497	2.875058E7
498	2.875059E7
499	2.87506E7

