Cycle	Data Avaiavility
0	NaN
1	0.0
2	0.0
3	0.0
4	0.0045
5	0.008
6	0.006
7	0.00825
8	0.0105
9	0.017
10	0.02525
11	0.024
12	0.029
13	0.033166666666666664
14	0.041
15	0.051333333333333335
16	0.04525
17	0.05225
18	0.058375
19	0.0685
20	0.07875
21	0.0727
22	0.0813
23	0.0911
24	0.1037
25	0.1169
26	0.10575
27	0.11383333333333333
28	0.12116666666666667
29	0.13091666666666665
30	0.14
31	0.1285714285714286
32	0.13614285714285715
33	0.1404285714285714
34	0.14507142857142857
35	0.1504285714285714
36	0.13625
37	0.1406875
38	0.1443125
39	0.150375
40	0.155375
41	0.14283333333333334
42	0.14638888888888887
43	0.14988888888888888
44	0.15455555555555553
45	0.15822222222222224
46	0.14765
47	0.15280000000000002
48	0.15825
49	0.163
50	0.1687
51	0.1602727272727273
52	0.1652727272727273
53	0.1701363636363636
54	0.17527272727272727
55	0.1809090909090909
56	0.17070833333333335
57	0.17408333333333334
58	0.17633333333333334
59	0.17975
60	0.18491666666666665
61	0.17392307692307693
62	0.17857692307692308
63	0.1818846153846154
64	0.1876153846153846
65	0.19207692307692306
66	0.18271428571428572
67	0.18725
68	0.1923214285714286
69	0.1987857142857143
70	0.2046785714285714
71	0.19796666666666668
72	0.2033
73	0.2091
74	0.21406666666666666
75	0.21906666666666666
76	0.20984375
77	0.2145
78	0.2189375
79	0.2234375
80	0.22978125
81	0.22126470588235292
82	0.22655882352941176
83	0.23126470588235293
84	0.23535294117647057
85	0.24076470588235294
86	0.23230555555555554
87	0.237
88	0.24083333333333334
89	0.24427777777777776
90	0.24838888888888888
91	0.23828947368421052
92	0.2406578947368421
93	0.2422105263157895
94	0.2437105263157895
95	0.24592105263157896
96	0.23485
97	0.23575
98	0.237125
99	0.23895
100	0.24075
101	0.23052380952380952
102	0.2314047619047619
103	0.2320714285714286
104	0.23333333333333334
105	0.2338095238095238
106	0.22422727272727272
107	0.225
108	0.22713636363636364
109	0.22836363636363638
110	0.23011363636363638
111	0.22191304347826088
112	0.22193478260869565
113	0.22167391304347825
114	0.22182608695652176
115	0.22217391304347825
116	0.21354166666666666
117	0.21247916666666666
118	0.21177083333333335
119	0.21191666666666667
120	0.21283333333333335
121	0.20642
122	0.20708000000000001
123	0.20742
124	0.20834
125	0.20926
126	0.2023653846153846
127	0.20344230769230767
128	0.20384615384615384
129	0.20421153846153844
130	0.20415384615384616
131	0.19727777777777777
132	0.19694444444444445
133	0.19677777777777777
134	0.19705555555555554
135	0.19725925925925927
136	0.189875
137	0.18932142857142858
138	0.18851785714285713
139	0.18748214285714287
140	0.18708928571428574
141	0.18068965517241378
142	0.1803793103448276
143	0.1797413793103448
144	0.17910344827586205
145	0.1786551724137931
146	0.1721
147	0.17093333333333333
148	0.16998333333333332
149	0.17038333333333333
150	0.16908333333333334
151	0.16330645161290322
152	0.16293548387096773
153	0.16191935483870967
154	0.1614516129032258
155	0.16011290322580646
156	0.155015625
157	0.1544375
158	0.1530625
159	0.15228125
160	0.15178125
161	0.14716666666666667
162	0.1468787878787879
163	0.14542424242424243
164	0.14384848484848484
165	0.14283333333333334
166	0.13838235294117646
167	0.13797058823529412
168	0.13773529411764707
169	0.13813235294117646
170	0.13833823529411765
171	0.13415714285714284
172	0.13485714285714287
173	0.13488571428571428
174	0.1355142857142857
175	0.13614285714285715
176	0.13270833333333334
177	0.13294444444444445
178	0.13290277777777776
179	0.13318055555555555
180	0.13319444444444445
181	0.12978378378378377
182	0.12995945945945944
183	0.12928378378378377
184	0.12894594594594594
185	0.12821621621621623
186	0.1245
187	0.12377631578947368
188	0.12273684210526316
189	0.12239473684210526
190	0.12152631578947369
191	0.11858974358974358
192	0.11802564102564102
193	0.11701282051282051
194	0.11643589743589743
195	0.11605128205128205
196	0.11321250000000001
197	0.113525
198	0.11358750000000001
199	0.1145375
200	0.1153
201	0.11384146341463415
202	0.11436585365853658
203	0.11510975609756098
204	0.11586585365853658
205	0.1169390243902439
206	0.11535714285714287
207	0.11627380952380952
208	0.11726190476190476
209	0.1184642857142857
210	0.11923809523809524
211	0.1175
212	0.11876744186046512
213	0.11977906976744185
214	0.1202906976744186
215	0.12059302325581395
216	0.11822727272727274
217	0.11865909090909091
218	0.11838636363636364
219	0.1184659090909091
220	0.1185568181818182
221	0.1159
222	0.11542222222222222
223	0.11446666666666667
224	0.11397777777777778
225	0.11346666666666667
226	0.11009782608695652
227	0.10955434782608696
228	0.1097391304347826
229	0.10947826086956522
230	0.10945652173913044
231	0.10714893617021276
232	0.10682978723404256
233	0.10654255319148936
234	0.10711702127659575
235	0.10693617021276595
236	0.10438541666666667
237	0.10383333333333333
238	0.10375
239	0.10345833333333333
240	0.10335416666666668
241	0.10060204081632654
242	0.10022448979591837
243	0.09896938775510204
244	0.09845918367346938
245	0.09742857142857143
246	0.09540000000000001
247	0.09486
248	0.09408
249	0.09343000000000001
250	0.09289
251	0.09223
252	0.09111
253	0.09026
254	0.08965000000000001
255	0.08896
256	0.08831
257	0.08757
258	0.08674
259	0.08607
260	0.08573
261	0.08513
262	0.08473
263	0.08423
264	0.0837
265	0.08325
266	0.08284
267	0.08239
268	0.08218
269	0.08229
270	0.08208
271	0.08214
272	0.08195000000000001
273	0.08172
274	0.08137
275	0.08104
276	0.08117
277	0.08038
278	0.07965000000000001
279	0.07931999999999999
280	0.07872
281	0.07806999999999999
282	0.07673
283	0.0757
284	0.07478
285	0.07363
286	0.07282
287	0.07178
288	0.07104
289	0.06965
290	0.06884
291	0.06799
292	0.06718
293	0.0663
294	0.06570000000000001
295	0.06508
296	0.06451000000000001
297	0.06382
298	0.06324
299	0.06291
300	0.062450000000000006
301	0.061840000000000006
302	0.06079
303	0.060039999999999996
304	0.05916
305	0.05794
306	0.05697
307	0.0559
308	0.05484000000000001
309	0.05367
310	0.052450000000000004
311	0.05132
312	0.04984
313	0.048549999999999996
314	0.047420000000000004
315	0.04598
316	0.04464
317	0.04318
318	0.04195
319	0.0404
320	0.038979999999999994
321	0.03744
322	0.03592
323	0.03462
324	0.03326
325	0.03214
326	0.03083
327	0.02976
328	0.02898
329	0.02788
330	0.026850000000000002
331	0.02577
332	0.0246
333	0.023600000000000003
334	0.022600000000000002
335	0.02161
336	0.020579999999999998
337	0.01966
338	0.01889
339	0.01804
340	0.01712
341	0.01625
342	0.015519999999999999
343	0.01473
344	0.014
345	0.013300000000000001
346	0.01251
347	0.011789999999999998
348	0.0112
349	0.0106
350	0.00992
351	0.00943
352	0.00876
353	0.008230000000000001
354	0.007719999999999999
355	0.00723
356	0.00675
357	0.00628
358	0.0057599999999999995
359	0.00533
360	0.00504
361	0.00479
362	0.00464
363	0.00445
364	0.004200000000000001
365	0.004059999999999999
366	0.00382
367	0.00362
368	0.0033599999999999997
369	0.0032
370	0.0030800000000000003
371	0.00283
372	0.00269
373	0.0025800000000000003
374	0.0025299999999999997
375	0.0025
376	0.0025
377	0.0025
378	0.0025
379	0.0025
380	0.0025
381	0.0025
382	0.0025
383	0.0025
384	0.0025
385	0.0025
386	0.0025
387	0.0025
388	0.0025
389	0.0025
390	0.0025
391	0.0025
392	0.0025
393	0.0025
394	0.0025
395	0.0025
396	0.0025
397	0.0025
398	0.0025
399	0.0025
400	0.0025
401	0.0025
402	0.0025
403	0.0025
404	0.0025
405	0.0025
406	0.0025
407	0.0025
408	0.0025
409	0.0025
410	0.0025
411	0.0025
412	0.0025
413	0.0025
414	0.0025
415	0.0025
416	0.0025
417	0.0025
418	0.0025
419	0.0025
420	0.0025
421	0.0025
422	0.0025
423	0.0025
424	0.0025
425	0.0025
426	0.0025
427	0.0025
428	0.0025
429	0.0025
430	0.0025
431	0.0025
432	0.0025
433	0.0025
434	0.0025
435	0.0025
436	0.0025
437	0.0025
438	0.0025
439	0.0025
440	0.0025
441	0.0025
442	0.0025
443	0.0025
444	0.0025
445	0.0025
446	0.0025
447	0.0025
448	0.0025
449	0.0025
450	0.0025
451	0.0025
452	0.0025
453	0.0025
454	0.0025
455	0.0025
456	0.0025
457	0.0025
458	0.0025
459	0.0025
460	0.0025
461	0.0025
462	0.0025
463	0.0025
464	0.0025
465	0.0025
466	0.0025
467	0.0025
468	0.0025
469	0.0025
470	0.0025
471	0.0025
472	0.0025
473	0.0025
474	0.0025
475	0.0025
476	0.0025
477	0.0025
478	0.0025
479	0.0025
480	0.0025
481	0.0025
482	0.0025
483	0.0025
484	0.0025
485	0.0025
486	0.0025
487	0.0025
488	0.0025
489	0.0025
490	0.0025
491	0.0025
492	0.0025
493	0.0025
494	0.0025
495	0.0025
496	0.0025
497	0.0025
498	0.0025
499	0.0025

