Cycle	Now Replications	Total Replications
151	12376	24355
152	12502	24615
153	12632	24883
154	12768	25152
155	12903	25441
156	13005	25687
157	13058	25919
158	13133	26160
159	13202	26385
160	13278	26616
161	13387	26880
162	13460	27141
163	13454	27332
164	13436	27496
165	13428	27678
166	13430	27861
167	13473	28096
168	13468	28302
169	13462	28479
170	13459	28670
171	13428	28849
172	13425	29031
173	13417	29226
174	13431	29415
175	13508	29649
176	13508	29851
177	13544	30102
178	13525	30311
179	13546	30564
180	13540	30805
181	13556	31043
182	13566	31273
183	13530	31483
184	13484	31696
185	13474	31938
186	13447	32175
187	13349	32343
188	13248	32522
189	13197	32748
190	13127	32977
191	13030	33172
192	12883	33338
193	12674	33480
194	12542	33673
195	12404	33843
196	12232	33998
197	12056	34148
198	11903	34299
199	11737	34463
200	11602	34651
201	11424	34842
202	11283	35020
203	11110	35182
204	10991	35419
205	10886	35613
206	10749	35787
207	10584	35934
208	10418	36088
209	10304	36260
210	10247	36473
211	10174	36699
212	10064	36894
213	9987	37103
214	9903	37316
215	9810	37531
216	9739	37760
217	9670	37988
218	9582	38206
219	9490	38410
220	9462	38650
221	9456	38879
222	9386	39055
223	9339	39250
224	9283	39430
225	9220	39622
226	9176	39817
227	9146	40013
228	9060	40193
229	9030	40400
230	9010	40607
231	8979	40798
232	8985	41009
233	9005	41215
234	9024	41405
235	9088	41626
236	9155	41852
237	9207	42075
238	9247	42291
239	9301	42536
240	9372	42775
241	9458	43039
242	9522	43278
243	9571	43500
244	9667	43769
245	9752	44013
246	9797	44253
247	9826	44444
248	9892	44658
249	9958	44884
250	9995	45075
251	10037	45280
252	10099	45460
253	10127	45642
254	10166	45830
255	10167	46021
256	10161	46196
257	10150	46368
258	10106	46527
259	10097	46717
260	10068	46884
261	10013	47042
262	9891	47160
263	9772	47263
264	9596	47350
265	9461	47453
266	9330	47551
267	9192	47638
268	9040	47735
269	8914	47836
270	8746	47928
271	8648	48041
272	8525	48134
273	8401	48251
274	8274	48348
275	8135	48440
276	8017	48540
277	7874	48631
278	7654	48694
279	7495	48771
280	7349	48842
281	7186	48898
282	7027	48961
283	6910	49054
284	6773	49120
285	6660	49190
286	6536	49232
287	6377	49262
288	6230	49296
289	6046	49296
290	5865	49296
291	5656	49296
292	5495	49296
293	5322	49296
294	5130	49296
295	4943	49296
296	4779	49296
297	4623	49296
298	4457	49296
299	4289	49296
300	4117	49296
301	3944	49296
302	3765	49296
303	3578	49296
304	3422	49296
305	3242	49296
306	3072	49296
307	2921	49296
308	2770	49296
309	2633	49296
310	2480	49296
311	2324	49296
312	2186	49296
313	2063	49296
314	1917	49296
315	1771	49296
316	1645	49296
317	1496	49296
318	1370	49296
319	1271	49296
320	1167	49296
321	1075	49296
322	975	49296
323	872	49296
324	760	49296
325	658	49296
326	550	49296
327	449	49296
328	363	49296
329	270	49296
330	177	49296
331	111	49296
332	54	49296
333	21	49296
334	7	49296
335	0	49296
336	0	49296
337	0	49296
338	0	49296
339	0	49296
340	0	49296
341	0	49296
342	0	49296
343	0	49296
344	0	49296
345	0	49296
346	0	49296
347	0	49296
348	0	49296
349	0	49296
350	0	49296
351	0	49296
352	0	49296
353	0	49296
354	0	49296
355	0	49296
356	0	49296
357	0	49296
358	0	49296
359	0	49296
360	0	49296
361	0	49296
362	0	49296
363	0	49296
364	0	49296
365	0	49296
366	0	49296
367	0	49296
368	0	49296
369	0	49296
370	0	49296
371	0	49296
372	0	49296
373	0	49296
374	0	49296
375	0	49296
376	0	49296
377	0	49296
378	0	49296
379	0	49296
380	0	49296
381	0	49296
382	0	49296
383	0	49296
384	0	49296
385	0	49296
386	0	49296
387	0	49296
388	0	49296
389	0	49296
390	0	49296
391	0	49296
392	0	49296
393	0	49296
394	0	49296
395	0	49296
396	0	49296
397	0	49296
398	0	49296
399	0	49296
400	0	49296
401	0	49296
402	0	49296
403	0	49296
404	0	49296
405	0	49296
406	0	49296
407	0	49296
408	0	49296
409	0	49296
410	0	49296
411	0	49296
412	0	49296
413	0	49296
414	0	49296
415	0	49296
416	0	49296
417	0	49296
418	0	49296
419	0	49296
420	0	49296
421	0	49296
422	0	49296
423	0	49296
424	0	49296
425	0	49296
426	0	49296
427	0	49296
428	0	49296
429	0	49296
430	0	49296
431	0	49296
432	0	49296
433	0	49296
434	0	49296
435	0	49296
436	0	49296
437	0	49296
438	0	49296
439	0	49296
440	0	49296
441	0	49296
442	0	49296
443	0	49296
444	0	49296
445	0	49296
446	0	49296
447	0	49296
448	0	49296
449	0	49296
450	0	49296
451	0	49296
452	0	49296
453	0	49296
454	0	49296
455	0	49296
456	0	49296
457	0	49296
458	0	49296
459	0	49296
460	0	49296
461	0	49296
462	0	49296
463	0	49296
464	0	49296
465	0	49296
466	0	49296
467	0	49296
468	0	49296
469	0	49296
470	0	49296
471	0	49296
472	0	49296
473	0	49296
474	0	49296
475	0	49296
476	0	49296
477	0	49296
478	0	49296
479	0	49296
480	0	49296
481	0	49296
482	0	49296
483	0	49296
484	0	49296
485	0	49296
486	0	49296
487	0	49296
488	0	49296
489	0	49296
490	0	49296
491	0	49296
492	0	49296
493	0	49296
494	0	49296
495	0	49296
496	0	49296
497	0	49296
498	0	49296
499	0	49296
