Max Battery: 98.29505241948134
Min Battery: 9.647018958392394
Max Capacity: 10
Min Capacity: 1
Average Battery: 64.84319899373881
Average Capacity: 8.728940217391305

Max Battery: 97.44420217231672
Min Battery: 16.49314351164846
Max Capacity: 10
Min Capacity: 2
Average Battery: 63.85954404625073
Average Capacity: 8.799858557284299

Max Battery: 99.40945305355524
Min Battery: 3.199568457202547
Max Capacity: 10
Min Capacity: 1
Average Battery: 65.72584063356129
Average Capacity: 8.545710267229255

Max Battery: 98.8284480311099
Min Battery: 10.741675150865259
Max Capacity: 10
Min Capacity: 1
Average Battery: 65.0548078850395
Average Capacity: 8.628299120234605

Max Battery: 96.56509144565786
Min Battery: 18.648345292556332
Max Capacity: 10
Min Capacity: 2
Average Battery: 64.95063100235392
Average Capacity: 8.869924294562972

Max Battery: 98.96112909322729
Min Battery: 18.877739582147477
Max Capacity: 10
Min Capacity: 1
Average Battery: 64.95114404110004
Average Capacity: 8.577635327635328

Max Battery: 99.4935657054795
Min Battery: 12.100564076020087
Max Capacity: 10
Min Capacity: 1
Average Battery: 65.59452099389843
Average Capacity: 8.906081081081082

Max Battery: 96.75997452568036
Min Battery: 15.67982871525165
Max Capacity: 10
Min Capacity: 2
Average Battery: 64.34823410354821
Average Capacity: 8.50974930362117

Max Battery: 97.89037141320964
Min Battery: 14.093486221470124
Max Capacity: 10
Min Capacity: 2
Average Battery: 65.34888282090667
Average Capacity: 8.746206896551724

Max Battery: 97.35507294701914
Min Battery: 13.66688133919903
Max Capacity: 10
Min Capacity: 1
Average Battery: 63.10338381869936
Average Capacity: 8.86504424778761

Max Battery: 97.8469255708861
Min Battery: 22.303301078153638
Max Capacity: 10
Min Capacity: 1
Average Battery: 63.22321357091242
Average Capacity: 8.459761549925485

Max Battery: 99.45075130028138
Min Battery: 19.574919581788826
Max Capacity: 10
Min Capacity: 1
Average Battery: 65.10650886063151
Average Capacity: 8.556013745704467

Max Battery: 98.51265951349525
Min Battery: 13.39369245079534
Max Capacity: 10
Min Capacity: 1
Average Battery: 63.8805908227335
Average Capacity: 8.694842406876791

Max Battery: 98.78143009492035
Min Battery: 20.937839270087462
Max Capacity: 10
Min Capacity: 2
Average Battery: 63.58485926624387
Average Capacity: 8.781531531531531

Max Battery: 99.80884116745199
Min Battery: 16.188734823797997
Max Capacity: 10
Min Capacity: 2
Average Battery: 63.997591612048645
Average Capacity: 8.529661016949152

Max Battery: 97.47304212964599
Min Battery: 28.36498345219884
Max Capacity: 10
Min Capacity: 1
Average Battery: 65.69237962493456
Average Capacity: 8.19810633648944

Max Battery: 98.92522030028933
Min Battery: 19.916575377253668
Max Capacity: 10
Min Capacity: 1
Average Battery: 66.36589501103145
Average Capacity: 8.49286733238231

Max Battery: 98.11775562583841
Min Battery: 9.306708644333355
Max Capacity: 10
Min Capacity: 2
Average Battery: 64.2437390140596
Average Capacity: 8.582869080779945

Max Battery: 98.50954378907502
Min Battery: 9.074097299345848
Max Capacity: 10
Min Capacity: 2
Average Battery: 63.619867303433445
Average Capacity: 8.908119658119658

Max Battery: 98.69665178989578
Min Battery: 14.7343053822744
Max Capacity: 10
Min Capacity: 1
Average Battery: 62.871098703887206
Average Capacity: 8.27115987460815

Max Battery: 99.98050166030131
Min Battery: 9.375786873466614
Max Capacity: 10
Min Capacity: 1
Average Battery: 65.28565819704505
Average Capacity: 8.781011781011781

Max Battery: 97.44239148210954
Min Battery: 20.053193223927167
Max Capacity: 10
Min Capacity: 3
Average Battery: 63.20616185241121
Average Capacity: 8.617601246105918

Max Battery: 97.13853985501305
Min Battery: 17.619970963144556
Max Capacity: 10
Min Capacity: 2
Average Battery: 63.50324726811526
Average Capacity: 8.429545454545455

Max Battery: 98.27196168698839
Min Battery: 14.663335127775746
Max Capacity: 10
Min Capacity: 2
Average Battery: 65.4267725938597
Average Capacity: 8.864214992927865

Max Battery: 98.40721675941091
Min Battery: 9.577058511119791
Max Capacity: 10
Min Capacity: 2
Average Battery: 64.60537452449374
Average Capacity: 8.241007194244604

