Cycle	Now Cost	Average Cost	Number of Replication
111	4609	1302.5892857142858	5
112	651	1296.8230088495575	1
113	8109	1356.578947368421	9
114	0	1344.7826086956522	0
115	10864	1426.844827586207	16
116	4192	1450.4786324786326	5
117	14	1438.3050847457628	8
118	988	1434.5210084033613	1
119	1196	1432.5333333333333	1
120	5952	1469.8842975206612	12
121	1132	1467.1147540983607	1
122	7635	1517.260162601626	9
123	482	1508.9112903225807	1
124	6571	1549.408	7
125	8455	1604.2142857142858	9
126	739	1597.4015748031495	1
127	0	1584.921875	0
128	11632	1662.8062015503876	14
129	909	1657.0076923076922	1
130	4988	1682.4351145038167	14
131	2327	1687.3181818181818	3
132	6187	1721.1503759398497	7
133	3951	1737.7910447761194	5
134	2106	1740.5185185185185	3
135	7667	1784.0955882352941	13
136	8067	1829.956204379562	9
137	1413	1826.9347826086957	2
138	2774	1833.7482014388488	3
139	4686	1854.1214285714286	6
140	7130	1891.5390070921985	7
141	2691	1897.1690140845071	4
142	1170	1892.0839160839162	1
143	8327	1936.7708333333333	10
144	16661	2038.3172413793104	23
145	4734	2056.780821917808	6
146	0	2042.7891156462586	0
147	2243	2044.1418918918919	2
148	2617	2047.986577181208	3
149	1120	2041.8	1
150	1826	2040.3708609271523	3
151	0	2026.9473684210527	0
152	868	2019.3725490196077	1
153	9799	2069.8896103896104	10
154	1631	2067.058064516129	2
155	4561	2083.0448717948716	5
156	0	2069.7770700636943	0
157	0	2056.6772151898736	0
158	14361	2134.062893081761	16
159	6032	2158.425	7
160	10532	2210.4347826086955	12
161	9080	2252.8395061728397	10
162	9463	2297.0736196319017	11
163	11481	2353.0731707317073	14
164	10342	2401.490909090909	12
165	4303	2412.9457831325303	10
166	3405	2418.88622754491	4
167	19446	2520.2380952380954	26
168	770	2509.8816568047337	1
169	4739	2522.994117647059	7
170	15431	2598.4795321637425	18
171	9423	2638.156976744186	12
172	4705	2650.1040462427745	7
173	1751	2644.9367816091954	2
174	1064	2635.902857142857	2
175	15009	2706.2045454545455	19
176	6429	2727.237288135593	7
177	5943	2745.303370786517	8
178	1512	2738.413407821229	2
179	9897	2778.1833333333334	11
180	6841	2800.6298342541436	8
181	1391	2792.8846153846152	2
182	2019	2788.655737704918	2
183	11636	2836.7391304347825	14
184	9891	2874.8702702702703	12
185	4923	2885.8817204301076	10
186	12831	2939.0641711229946	14
187	4362	2946.6329787234044	5
188	0	2931.042328042328	0
189	2170	2927.036842105263	2
190	8198	2954.633507853403	8
191	2024	2949.7864583333335	2
192	8601	2979.0673575129535	12
193	4895	2988.943298969072	6
194	1280	2980.1794871794873	2
195	13645	3034.591836734694	20
196	823	3023.3654822335025	1
197	11139	3064.3535353535353	16
198	3673	3067.4120603015076	6
199	11748	3110.815	13
200	8404	3137.1492537313434	11
201	3493	3138.910891089109	4
202	9818	3171.8128078817736	12
203	11200	3211.1666666666665	13
204	9003	3239.419512195122	12
205	2973	3238.126213592233	5
206	3078	3237.352657004831	3
207	12996	3284.269230769231	14
208	1165	3274.129186602871	1
209	0	3258.538095238095	0
210	11585	3298.0	12
211	1795	3290.9103773584907	2
212	22057	3379.0140845070423	28
213	1404	3369.785046728972	2
214	18880	3441.9255813953487	23
215	4728	3447.8796296296296	12
216	4737	3453.820276497696	7
217	9054	3479.5091743119265	12
218	0	3463.62100456621	0
219	0	3447.8772727272726	0
220	12313	3487.9909502262444	16
221	19639	3560.7432432432433	25
222	0	3544.775784753363	0
223	9613	3571.8660714285716	13
224	0	3555.991111111111	0
225	7368	3572.858407079646	10
226	8389	3594.074889867841	10
227	0	3578.311403508772	0
228	26647	3679.048034934498	34
229	22210	3759.6173913043476	29
230	11048	3791.1688311688313	20
231	795	3778.2543103448274	1
232	4404	3780.93991416309	6
233	7839	3798.2820512820513	11
234	6683	3810.5574468085106	9
235	20230	3880.1313559322034	26
236	2099	3872.616033755274	3
237	2778	3868.016806722689	3
238	4434	3870.384937238494	5
239	18086	3929.616666666667	21
240	13608	3969.7759336099584	21
241	13632	4009.7024793388427	18
242	15437	4056.7283950617284	22
243	8743	4075.934426229508	13
244	7545	4090.0938775510203	10
245	6595	4100.276422764227	7
246	1308	4088.9716599190283	2
247	7168	4101.387096774193	10
248	8728	4119.967871485944	11
249	5146	4124.072	7
250	17562	4177.609561752988	22
251	16855	4227.916666666667	23
252	22558	4300.367588932806	31
253	7085	4311.330708661418	11
254	16789	4360.262745098039	23
255	17942	4413.31640625	21
256	9700	4433.887159533074	15
257	1484	4422.453488372093	2
258	0	4405.378378378378	0
259	2585	4398.376923076923	4
260	10290	4420.9501915708815	12
261	18679	4475.3702290076335	23
262	8308	4489.942965779468	10
263	884	4476.284090909091	1
264	788	4462.366037735849	1
265	2233	4453.984962406015	3
266	13880	4489.288389513109	17
267	9250	4507.05223880597	13
268	20395	4566.115241635688	31
