Cycle	Now Cost	Average Cost	Number of Replication

0	1847	1847.0	412
1	202	1024.5	300
2	146	731.6666666666666	328
3	127	580.5	312
4	115	487.4	280
5	233	445.0	332
6	127	399.57142857142856	332
7	119	364.5	280
8	112	336.44444444444446	276
9	162	319.0	324
10	525	337.72727272727275	376
11	476	349.25	352
12	211	338.61538461538464	360
13	214	329.7142857142857	280
14	136	316.8	260
15	432	324.0	276
16	452	331.52941176470586	252
17	341	332.05555555555554	188
18	179	324.0	200
19	64	311.0	164
20	321	311.4761904761905	160
21	161	304.6363636363636	120
22	330	305.7391304347826	100
23	123	298.125	84
24	35	287.6	76
25	222	285.0769230769231	64
26	43	276.1111111111111	32
27	132	270.9642857142857	20
28	21	262.3448275862069	20
29	167	259.1666666666667	56
30	990	282.741935483871	36
31	737	296.9375	32
32	212	294.3636363636364	32
33	49	287.1470588235294	20
34	29	279.77142857142854	16
35	225	278.25	36
36	16	271.1621621621622	8
37	298	271.86842105263156	20
38	8	265.1025641025641	24
39	229	264.2	32
40	185	262.2682926829268	28
41	427	266.1904761904762	20
42	190	264.4186046511628	4
43	109	260.8863636363636	12
44	99	257.2888888888889	8
45	119	254.2826086956522	16
46	49	249.91489361702128	16
47	66	246.08333333333334	16
48	222	245.59183673469389	16
49	490	250.48	8
50	1	245.58823529411765	4
51	1	240.8846153846154	4
52	78	237.81132075471697	4
53	672	245.85185185185185	8
54	10	241.56363636363636	4
55	79	238.66071428571428	16
56	0	234.47368421052633	4
57	0	230.43103448275863	0
58	78	227.84745762711864	4
59	1	224.06666666666666	4
60	744	232.59016393442624	8
61	115	230.69354838709677	8
62	27	227.46031746031747	8
63	34	224.4375	8
64	0	220.98461538461538	0
65	66	218.63636363636363	4
66	0	215.37313432835822	0
67	0	212.2058823529412	0
68	403	214.97101449275362	12
69	0	211.9	0
70	0	208.91549295774647	0
71	0	206.01388888888889	0
72	0	203.1917808219178	0
73	0	200.44594594594594	0
74	0	197.77333333333334	0
75	196	197.75	8
76	0	195.1818181818182	0
77	0	192.67948717948718	0
78	0	190.2405063291139	0
79	0	187.8625	0
80	105	186.8395061728395	4
81	171	186.64634146341464	4
82	0	184.3975903614458	0
83	150	183.98809523809524	8
84	0	181.8235294117647	0
85	45	180.2325581395349	4
86	0	178.16091954022988	0
87	0	176.13636363636363	0
88	66	174.8988764044944	4
89	0	172.95555555555555	0
90	0	171.05494505494505	0
91	0	169.19565217391303	0
92	0	167.3763440860215	0
93	0	165.59574468085106	0
94	0	163.85263157894738	0
95	0	162.14583333333334	0
96	0	160.4742268041237	0
97	0	158.83673469387756	0
98	0	157.23232323232324	0
99	0	155.66	0
100	136	155.46534653465346	4
101	0	153.94117647058823	0
102	0	152.44660194174756	0
103	0	150.98076923076923	0
104	0	149.54285714285714	0
105	0	148.1320754716981	0
106	0	146.74766355140187	0
107	190	147.14814814814815	4
108	0	145.7981651376147	0
109	0	144.47272727272727	0
110	0	143.17117117117118	0
111	0	141.89285714285714	0
112	0	140.63716814159292	0
113	0	139.40350877192984	0
114	0	138.19130434782608	0
115	0	137.0	0
116	0	135.82905982905982	0
117	396	138.03389830508473	8
118	0	136.87394957983193	0
119	0	135.73333333333332	0
120	0	134.61157024793388	0
121	0	133.50819672131146	0
122	0	132.4227642276423	0
123	0	131.3548387096774	0
124	0	130.304	0
125	0	129.26984126984127	0
126	0	128.251968503937	0
127	0	127.25	0
128	0	126.26356589147287	0
129	0	125.29230769230769	0
130	136	125.37404580152672	4
131	0	124.42424242424242	0
132	0	123.48872180451127	0
133	0	122.56716417910448	0
134	0	121.65925925925926	0
135	903	127.40441176470588	4
136	0	126.47445255474453	0
137	0	125.55797101449275	0
138	0	124.65467625899281	0
139	0	123.76428571428572	0
140	0	122.88652482269504	0
141	0	122.02112676056338	0
142	0	121.16783216783217	0
143	0	120.32638888888889	0
144	0	119.49655172413793	0
145	0	118.67808219178082	0
146	0	117.87074829931973	0
147	0	117.07432432432432	0
148	0	116.28859060402685	0
149	0	115.51333333333334	0
150	0	114.74834437086092	0
151	0	113.99342105263158	0
152	0	113.2483660130719	0
153	0	112.51298701298701	0
154	0	111.78709677419354	0
155	0	111.07051282051282	0
156	0	110.36305732484077	0
157	0	109.66455696202532	0
158	0	108.9748427672956	0
159	0	108.29375	0
160	0	107.62111801242236	0
161	0	106.95679012345678	0
162	0	106.30061349693251	0
163	0	105.65243902439025	0
164	0	105.01212121212122	0
165	0	104.37951807228916	0
166	0	103.75449101796407	0
167	0	103.13690476190476	0
168	0	102.5266272189349	0
169	0	101.9235294117647	0
170	0	101.32748538011695	0
171	0	100.73837209302326	0
172	0	100.15606936416185	0
173	0	99.58045977011494	0
174	0	99.01142857142857	0
175	0	98.44886363636364	0
176	0	97.89265536723164	0
177	0	97.34269662921348	0
178	0	96.79888268156425	0
179	0	96.2611111111111	0
180	0	95.7292817679558	0
181	0	95.2032967032967	0
182	0	94.68306010928961	0
183	0	94.16847826086956	0
184	0	93.65945945945946	0
185	0	93.15591397849462	0
186	0	92.65775401069519	0
187	0	92.16489361702128	0
188	0	91.67724867724868	0
189	0	91.19473684210526	0
190	0	90.717277486911	0
191	0	90.24479166666667	0
192	0	89.77720207253886	0
193	0	89.31443298969072	0
194	0	88.85641025641026	0
195	0	88.40306122448979	0
196	0	87.95431472081218	0
197	0	87.51010101010101	0
198	0	87.07035175879398	0
199	0	86.635	0
200	0	86.20398009950249	0
201	0	85.77722772277228	0
202	0	85.35467980295566	0
203	0	84.93627450980392	0
204	0	84.52195121951219	0
205	0	84.1116504854369	0
206	0	83.70531400966183	0
207	0	83.30288461538461	0
208	0	82.90430622009569	0
209	0	82.50952380952381	0
210	0	82.11848341232228	0
211	0	81.73113207547169	0
212	0	81.34741784037558	0
213	0	80.96728971962617	0
214	0	80.5906976744186	0
215	0	80.2175925925926	0
216	0	79.84792626728111	0
217	0	79.48165137614679	0
218	0	79.11872146118722	0
219	0	78.75909090909092	0
220	0	78.4027149321267	0
221	0	78.04954954954955	0
222	0	77.69955156950672	0
223	0	77.35267857142857	0
224	0	77.00888888888889	0
225	0	76.66814159292035	0
