Cycle	Availability	Now Replications	Total Replications

0	1.0	108.0	108.0
1	1.0	180.0	180.0
2	1.0	256.0	256.0
3	0.9969788519637462	330.0	331.0
4	0.9974424552429667	390.0	391.0
5	0.9912663755458515	454.0	458.0
6	0.9871794871794872	539.0	546.0
7	0.9723577235772358	598.0	615.0
8	0.9640287769784173	670.0	695.0
9	0.953307392996109	735.0	771.0
10	0.9468713105076741	802.0	847.0
11	0.9329004329004329	862.0	924.0
12	0.9134709931170109	929.0	1017.0
13	0.905829596412556	1010.0	1115.0
14	0.8889823380992431	1057.0	1189.0
15	0.8824463860206513	1111.0	1259.0
16	0.871969696969697	1151.0	1320.0
17	0.8604651162790697	1184.0	1376.0
18	0.848463687150838	1215.0	1432.0
19	0.8331071913161465	1228.0	1474.0
20	0.8185430463576159	1236.0	1510.0
21	0.8092147955872809	1247.0	1541.0
22	0.799618320610687	1257.0	1572.0
23	0.7907268170426065	1262.0	1596.0
24	0.7748138957816377	1249.0	1612.0
25	0.7629810629199756	1249.0	1637.0
26	0.7448484848484849	1229.0	1650.0
27	0.7303980699638118	1211.0	1658.0
28	0.7039039039039039	1172.0	1665.0
29	0.6909307875894988	1158.0	1676.0
30	0.6787196206283344	1145.0	1687.0
31	0.6607669616519174	1120.0	1695.0
32	0.6510263929618768	1110.0	1705.0
33	0.6378504672897196	1092.0	1712.0
34	0.6241258741258742	1071.0	1716.0
35	0.6125866050808314	1061.0	1732.0
36	0.60137851809305	1047.0	1741.0
37	0.5834767641996558	1017.0	1743.0
38	0.5705275229357798	995.0	1744.0
39	0.5591766723842195	978.0	1749.0
40	0.5522133938706016	973.0	1762.0
41	0.5351075877689694	945.0	1766.0
42	0.5290140845070422	939.0	1775.0
43	0.5191011235955056	924.0	1780.0
44	0.5103757711721817	910.0	1783.0
45	0.519438444924406	962.0	1852.0
46	0.5091496232508074	946.0	1858.0
47	0.49865519096288324	927.0	1859.0
48	0.49032258064516127	912.0	1860.0
49	0.4806659505907626	895.0	1862.0
50	0.47118463180362863	883.0	1874.0
51	0.4554666666666667	854.0	1875.0
